date	snp	bg	line							
1-Sep-09	100	100								
2-Sep-09	99.7	99.52								
3-Sep-09	100.55	100.87								
4-Sep-09	101.88	102.62								
8-Sep-09	102.8	103.78			280.65	280.65				
9-Sep-09	103.6	104.63								
10-Sep-09	104.68	105.72								
11-Sep-09	104.56	105.78								
14-Sep-09	105.23	106.79								
15-Sep-09	105.56	107.73								
16-Sep-09	107.18	109.65								
17-Sep-09	106.87	109.08								
18-Sep-09	107.15	109.07								
21-Sep-09	106.78	108.53								
22-Sep-09	107.49	109.75								
23-Sep-09	106.41	108.08								
24-Sep-09	105.41	106.29								
25-Sep-09	104.77	105.48								
28-Sep-09	106.65	107.03								
29-Sep-09	106.42	106.92								
30-Sep-09	106.07	107.36								
1-Oct-09	103.34	104.46								
2-Oct-09	102.88	103.82								
5-Oct-09	104.41	106.02								
6-Oct-09	105.85	107.81								
7-Oct-09	106.19	107.98								
8-Oct-09	106.98	110.1								
9-Oct-09	107.59	111.07								
12-Oct-09	108.06	111.66								
13-Oct-09	107.77	111.6								
14-Oct-09	109.66	114								
15-Oct-09	110.12	114.96								
16-Oct-09	109.23	114.38								
19-Oct-09	110.25	115.99								
20-Oct-09	109.57	115.54								
21-Oct-09	108.61	114.55								
22-Oct-09	109.78	115.28								
23-Oct-09	108.44	112.88								
26-Oct-09	107.17	111.63								
27-Oct-09	106.81	110.76								
28-Oct-09	104.74	107.65								
29-Oct-09	107.11	110.16								
30-Oct-09	104.1	106.76								
2-Nov-09	104.78	107.61								
3-Nov-09	105.03	109.08								
4-Nov-09	105.18	109.55								
5-Nov-09	107.21	110.95								
6-Nov-09	107.49	111.21								
9-Nov-09	109.91	113.84								
10-Nov-09	109.93	113.75								
11-Nov-09	110.49	114.1								
12-Nov-09	109.37	112.41								
13-Nov-09	110	112.81								
16-Nov-09	111.61	114.93								
17-Nov-09	111.73	114.97								
18-Nov-09	111.69	114.22								
19-Nov-09	110.19	112.27								
20-Nov-09	109.86	111.96								
23-Nov-09	111.36	113.13								
24-Nov-09	111.3	113.05								
