date	close	down	downSize	recovery
1-Sep-09	998.04			1
2-Sep-09	994.75	0	-0.48	2
3-Sep-09	1003.24	0	0.87	3
4-Sep-09	1016.40	0	2.62	4
8-Sep-09	1025.39	0	3.78	5
9-Sep-09	1033.37	0	4.63	6
10-Sep-09	1044.14	0	5.72	7
11-Sep-09	1042.73	0	5.78	8
14-Sep-09	1049.34	0	6.79	9
15-Sep-09	1052.63	0	7.73	10
16-Sep-09	1068.76	0	9.65	11
17-Sep-09	1065.49	0	9.08	12
18-Sep-09	1068.30	0	9.07	13
21-Sep-09	1064.66	0	8.53	14
22-Sep-09	1071.66	0	9.75	15
23-Sep-09	1060.87	0	8.08	16
24-Sep-09	1050.78	0	6.29	17
25-Sep-09	1044.38		5.48	18
28-Sep-09	1062.98	0	7.03	19
29-Sep-09	1060.61	0	6.92	20
30-Sep-09	1057.08	0	7.36	21
1-Oct-09	1029.85	0	4.46	22
2-Oct-09	1025.21	0	3.82	23
5-Oct-09	1040.46	0	6.02	24
6-Oct-09	1054.72	0	7.81	25
7-Oct-09	1057.58	0	7.98	26
8-Oct-09	1065.48	0	10.1	27
9-Oct-09	1071.49	0	11.07	28
12-Oct-09	1076.19	0	11.66	29
13-Oct-09	1073.19	0	11.6	30
14-Oct-09	1092.02	0	14	31
15-Oct-09	1096.56	0	14.96	32
16-Oct-09	1087.68	0	14.38	33
19-Oct-09	1097.91	0	15.99	34
20-Oct-09	1091.06	1	15.54	35
21-Oct-09	1081.40	1	14.55	36
22-Oct-09	1092.91	1	15.28	37
23-Oct-09	1079.60	1	12.88	38
26-Oct-09	1066.95	1	11.63	39
27-Oct-09	1063.41	1	10.76	40
28-Oct-09	1042.63	1	7.65	41
29-Oct-09	1066.11	1	10.16	42
30-Oct-09	1036.19	1	6.76	43
2-Nov-09	1042.88	1	7.61	44
3-Nov-09	1045.41	1	9.08	45
4-Nov-09	1046.50	1	9.55	46
5-Nov-09	1066.63	1	10.95	47
6-Nov-09	1069.30	1	11.21	48
9-Nov-09	1093.08	1	13.84	49
10-Nov-09	1093.01	1	13.75	50
11-Nov-09	1098.51	1	14.1	51
12-Nov-09	1087.24	1	12.41	52
13-Nov-09	1093.48	1	12.81	53
16-Nov-09	1109.30	1	14.93	54
17-Nov-09	1110.32	1	14.97	55
18-Nov-09	1109.80	1	14.22	56
19-Nov-09	1094.90	1	12.27	57
20-Nov-09	1091.38	1	11.96	58
23-Nov-09	1106.24	1	13.13	59
24-Nov-09	1105.65	1	13.05	60
25-Nov-09	1110.63	1	14.09	61
27-Nov-09	1091.49	1	12.05	62
30-Nov-09	1095.63	1	12.17	63
1-Dec-09	1108.86	1	13.83	64
2-Dec-09	1109.24	1	13.41	65
3-Dec-09	1099.92	1	12.15	66
4-Dec-09	1105.98	1	12.57	67
7-Dec-09	1103.25	1	13	68
8-Dec-09	1091.94	1	11.88	69
9-Dec-09	1095.95	1	12.03	70
10-Dec-09	1102.35	1	13.05	71
11-Dec-09	1106.41	1	13.42	72
14-Dec-09	1114.11	1	14.53	73
15-Dec-09	1107.93	1	14.35	74
16-Dec-09	1109.18	1	14.2	75
17-Dec-09	1096.08	1	12.84	76
18-Dec-09	1102.47	1	13.17	77
21-Dec-09	1114.05	1	14.33	78
22-Dec-09	1118.02	1	14.42	79
23-Dec-09	1120.59	1	14.86	80
24-Dec-09	1126.48	1	15.12	81
28-Dec-09	1127.78	1	15.51	82
29-Dec-09	1126.20	1	15.74	83
30-Dec-09	1126.42	1	15.71	84
31-Dec-09	1115.10	1	14.54	85
4-Jan-10	1132.99	1	16.05	86
5-Jan-10	1136.52	0	16.54	87
6-Jan-10	1137.14	0	16.62	88
7-Jan-10	1141.69	0	17.25	89
8-Jan-10	1144.98	0	17.94	90
11-Jan-10	1146.98	0	18.33	91
12-Jan-10	1136.22	0	17.81	92
13-Jan-10	1145.68	0	18.81	93
14-Jan-10	1148.46	0	19.01	94
15-Jan-10	1136.03	0	17.95	95
19-Jan-10	1150.23	0	19.16	96
20-Jan-10	1138.04	1	17.86	97
21-Jan-10	1116.48	1	16.34	98
22-Jan-10	1091.76	1	14.65	99
25-Jan-10	1096.78	1	15.58	100
26-Jan-10	1092.17	1	15.69	101
27-Jan-10	1097.50	1	15.69	102
28-Jan-10	1084.53	1	14.23	103
29-Jan-10	1073.87	1	13.15	104
1-Feb-10	1089.19	1	15.14	105
2-Feb-10	1103.32	1	16.67	106
3-Feb-10	1097.28	1	16.12	107
4-Feb-10	1063.11	1	12.87	108
5-Feb-10	1066.19	1	12.53	109
8-Feb-10	1056.74	1	11.77	110
9-Feb-10	1070.52	1	13.31	111
10-Feb-10	1068.13	1	12.95	112
11-Feb-10	1078.47	1	14.22	113
12-Feb-10	1075.51	1	13.88	114
16-Feb-10	1094.87	1	15.62	115
17-Feb-10	1099.51	1	16.48	116
18-Feb-10	1106.75	1	17.35	117
19-Feb-10	1109.17	1	17.81	118
22-Feb-10	1108.01	1	17.81	119
23-Feb-10	1094.60	1	16.87	120
24-Feb-10	1105.24	1	17.74	121
25-Feb-10	1102.94	1	17.7	122
26-Feb-10	1104.49	1	17.64	123
1-Mar-10	1115.71	1	18.77	124
2-Mar-10	1118.31	1	19.08	125
3-Mar-10	1118.79	1	19.07	126
4-Mar-10	1122.97	1	19.32	127
5-Mar-10	1138.70	0	20.63	128
8-Mar-10	1138.50	0	20.56	129
9-Mar-10	1140.45	0	20.84	130
10-Mar-10	1145.61	0	21.36	131
11-Mar-10	1150.24	0	21.8	132
12-Mar-10	1149.99	0	21.66	133
15-Mar-10	1150.51	0	22.21	134
16-Mar-10	1159.46	0	22.99	135
17-Mar-10	1166.21	0	23.68	136
18-Mar-10	1165.83	0	24.31	137
19-Mar-10	1159.90	0	23.54	138
22-Mar-10	1165.81	0	24.28	139
23-Mar-10	1174.17	0	24.67	140
24-Mar-10	1167.72	0	23.72	141
25-Mar-10	1165.73	0	23.53	142
26-Mar-10	1166.59	0	23.7	143
29-Mar-10	1173.22	0	24.53	144
30-Mar-10	1173.27	0	24.96	145
31-Mar-10	1169.43	0	24.37	146
1-Apr-10	1178.10	0	25.08	147
5-Apr-10	1187.44	0	26.06	148
6-Apr-10	1189.44	0	25.77	149
7-Apr-10	1182.45	0	25.24	150
8-Apr-10	1186.44	0	25.72	151
9-Apr-10	1194.37	0	26.69	152
12-Apr-10	1196.48	0	26.77	153
13-Apr-10	1197.30	0	26.87	154
14-Apr-10	1210.65	0	27.37	155
15-Apr-10	1211.67	0	27.52	156
16-Apr-10	1192.13	0	26.22	157
19-Apr-10	1197.52	0	26.75	158
20-Apr-10	1207.17	0	28.01	159
21-Apr-10	1205.94	0	28.39	160
22-Apr-10	1208.67	0	29.34	161
23-Apr-10	1217.28	0	29.99	162
26-Apr-10	1212.05	1	29.69	163
27-Apr-10	1183.71	1	27.17	164
28-Apr-10	1191.36	1	27.19	165
29-Apr-10	1206.78	1	29.17	166
30-Apr-10	1186.69	1	27.09	167
3-May-10	1202.26	1	28.75	168
4-May-10	1173.60	1	25.97	169
5-May-10	1165.87	1	25.46	170
6-May-10	1128.15	1	22.15	171
7-May-10	1110.88	1	19.72	172
10-May-10	1159.73	1	25.05	173
11-May-10	1155.79	1	24.63	174
12-May-10	1171.67	1	26.41	175
13-May-10	1157.44	1	24.81	176
14-May-10	1135.68	1	22.76	177
17-May-10	1136.94	1	23.21	178
18-May-10	1120.80	1	21.99	179
19-May-10	1115.05	1	20.92	180
20-May-10	1071.59	1	16.78	181
21-May-10	1087.69	1	18.51	182
24-May-10	1073.65	1	17.35	183
25-May-10	1074.03	1	17.58	184
26-May-10	1067.95	1	16.89	185
27-May-10	1103.06	1	19.52	186
28-May-10	1089.41	1	18.3	187
1-Jun-10	1070.71	1	16.47	188
2-Jun-10	1098.38	1	19.35	189
3-Jun-10	1102.83	1	19.76	190
4-Jun-10	1064.88	1	15.68	191
7-Jun-10	1050.47	1	13.75	192
8-Jun-10	1062.00	1	14.7	193
9-Jun-10	1055.69	1	14.51	194
10-Jun-10	1086.84	1	17.61	195
11-Jun-10	1091.60	1	18.19	196
14-Jun-10	1089.63	1	18.41	197
15-Jun-10	1115.23	1	20.87	198
16-Jun-10	1114.61	1	20.72	199
17-Jun-10	1116.04	1	20.75	200
18-Jun-10	1117.51	1	20.93	201
21-Jun-10	1113.20	1	20.42	202
22-Jun-10	1095.31	1	18.25	203
23-Jun-10	1092.04	1	17.96	204
24-Jun-10	1073.69	1	15.76	205
25-Jun-10	1076.76	1	15.65	206
28-Jun-10	1074.57	1	16.15	207
29-Jun-10	1041.24	1	12.98	208
30-Jun-10	1030.71	1	12.24	209
1-Jul-10	1027.37	1	12.4	210
2-Jul-10	1022.58	1	11.93	211
6-Jul-10	1028.06	1	11.86	212
7-Jul-10	1060.27	1	14.77	213
8-Jul-10	1070.25	1	15.76	214
9-Jul-10	1077.96	1	16.3	215
12-Jul-10	1078.75	1	16.55	216
13-Jul-10	1095.34	1	18.15	217
14-Jul-10	1095.17	1	18.6	218
15-Jul-10	1096.48	1	18.93	219
16-Jul-10	1064.88	1	15.98	220
19-Jul-10	1071.25	1	16.23	221
20-Jul-10	1083.48	1	17.83	222
21-Jul-10	1069.59	1	16.23	223
22-Jul-10	1093.67	1	17.94	224
23-Jul-10	1102.66	1	19.26	225
26-Jul-10	1115.01	1	20.22	226
27-Jul-10	1113.84	1	19.38	227
28-Jul-10	1106.13	1	19.22	228
29-Jul-10	1101.53	1	18.82	229
30-Jul-10	1101.60	1	19.25	230
2-Aug-10	1125.86	1	21.48	231
3-Aug-10	1120.46	1	20.91	232
4-Aug-10	1127.24	1	21.96	233
5-Aug-10	1125.81	1	22.28	234
6-Aug-10	1121.64	1	22.1	235
9-Aug-10	1127.79	1	22.66	236
10-Aug-10	1121.06	1	21.86	237
11-Aug-10	1089.47	1	18.54	238
12-Aug-10	1083.61	1	18.03	239
13-Aug-10	1079.25	1	17.51	240
16-Aug-10	1079.38	1	17.48	241
17-Aug-10	1092.54	1	19.36	242
18-Aug-10	1094.16	1	19.57	243
19-Aug-10	1075.63	1	17.55	244
20-Aug-10	1071.69	1	17.26	245
23-Aug-10	1067.36	1	17.02	246
24-Aug-10	1051.87	1	14.67	247
25-Aug-10	1055.33	1	15.03	248
26-Aug-10	1047.22	1	14.6	249
27-Aug-10	1064.59	1	16.26	250
30-Aug-10	1048.92	1	14.79	251
31-Aug-10	1049.33	1	13.94	252
1-Sep-10	1080.29	1	17.42	253
