date	close	down	downSize	recovery
1-Sep-09	1633.63	 		1
2-Sep-09	1628.66	0	-0.3	2
3-Sep-09	1642.68	0	0.55	3
4-Sep-09	1664.34	0	1.88	4
8-Sep-09	1679.32	0	2.8	5
9-Sep-09	1692.48	0	3.6	6
10-Sep-09	1710.14	0	4.68	7
11-Sep-09	1708.18	0	4.56	8
14-Sep-09	1719.04	0	5.23	9
15-Sep-09	1724.45	0	5.56	10
16-Sep-09	1750.91	0	7.18	11
17-Sep-09	1745.8	0	6.87	12
18-Sep-09	1750.43	0	7.15	13
21-Sep-09	1744.47	0	6.78	14
22-Sep-09	1755.99	0	7.49	15
23-Sep-09	1738.32	0	6.41	16
24-Sep-09	1722.02	0	5.41	17
25-Sep-09	1711.53	0	4.77	18
28-Sep-09	1742.32	0	6.65	19
29-Sep-09	1738.48	0	6.42	20
30-Sep-09	1732.86	0	6.07	21
1-Oct-09	1688.24	0	3.34	22
2-Oct-09	1680.7	0	2.88	23
5-Oct-09	1705.73	0	4.41	24
6-Oct-09	1729.14	0	5.85	25
7-Oct-09	1734.74	0	6.19	26
8-Oct-09	1747.7	0	6.98	27
9-Oct-09	1757.6	0	7.59	28
12-Oct-09	1765.31	0	8.06	29
13-Oct-09	1760.51	0	7.77	30
14-Oct-09	1791.47	0	9.66	31
15-Oct-09	1798.91	0	10.12	32
16-Oct-09	1784.35	0	9.23	33
19-Oct-09	1801.12	0	10.25	34
20-Oct-09	1789.93	1	9.57	35
21-Oct-09	1774.33	1	8.61	36
22-Oct-09	1793.34	1	9.78	37
23-Oct-09	1771.5	1	8.44	38
26-Oct-09	1750.75	1	7.17	39
27-Oct-09	1744.95	1	6.81	40
28-Oct-09	1711.09	1	4.74	41
29-Oct-09	1749.76	1	7.11	42
30-Oct-09	1700.67	1	4.1	43
2-Nov-09	1711.65	1	4.78	44
3-Nov-09	1715.81	1	5.03	45
4-Nov-09	1718.21	1	5.18	46
5-Nov-09	1751.45	1	7.21	47
6-Nov-09	1756.07	1	7.49	48
9-Nov-09	1795.56	1	9.91	49
10-Nov-09	1795.9	1	9.93	50
11-Nov-09	1804.93	1	10.49	51
12-Nov-09	1786.66	0	9.37	52
13-Nov-09	1796.93	0	10	53
16-Nov-09	1823.29	0	11.61	54
17-Nov-09	1825.18	0	11.73	55
18-Nov-09	1824.61	0	11.69	56
19-Nov-09	1800.12	0	10.19	57
20-Nov-09	1794.65	0	9.86	58
23-Nov-09	1819.17	0	11.36	59
24-Nov-09	1818.31	0	11.3	60
25-Nov-09	1826.74	0	11.82	61
27-Nov-09	1795.7	0	9.92	62
30-Nov-09	1802.68	0	10.35	63
1-Dec-09	1824.54	0	11.69	64
2-Dec-09	1825.4	0	11.74	65
3-Dec-09	1810.13	0	10.8	66
4-Dec-09	1820.11	0	11.42	67
7-Dec-09	1815.7	0	11.15	68
8-Dec-09	1797.31	0	10.02	69
9-Dec-09	1804.1	0	10.44	70
10-Dec-09	1814.81	0	11.09	71
11-Dec-09	1821.5	0	11.5	72
14-Dec-09	1834.55	0	12.3	73
15-Dec-09	1824.37	0	11.68	74
16-Dec-09	1826.45	0	11.8	75
17-Dec-09	1804.96	0	10.49	76
18-Dec-09	1815.35	0	11.12	77
21-Dec-09	1834.59	0	12.3	78
22-Dec-09	1841.17	0	12.7	79
23-Dec-09	1845.8	0	12.99	80
24-Dec-09	1855.5	0	13.58	81
28-Dec-09	1857.89	0	13.73	82
29-Dec-09	1855.61	0	13.59	83
30-Dec-09	1856.14	0	13.62	84
31-Dec-09	1837.5	0	12.48	85
4-Jan-10	1867.06	0	14.29	86
5-Jan-10	1872.9	0	14.65	87
6-Jan-10	1874.73	0	14.76	88
7-Jan-10	1882.34	0	15.22	89
8-Jan-10	1887.77	0	15.56	90
11-Jan-10	1891.06	0	15.76	91
12-Jan-10	1873.32	0	14.67	92
13-Jan-10	1889.1	0	15.64	93
14-Jan-10	1893.72	0	15.92	94
15-Jan-10	1873.3	0	14.67	95
19-Jan-10	1896.72	0	16.1	96
20-Jan-10	1876.9	1	14.89	97
21-Jan-10	1841.39	1	12.72	98
22-Jan-10	1800.61	1	10.22	99
25-Jan-10	1808.93	1	10.73	100
26-Jan-10	1801.34	1	10.27	101
27-Jan-10	1810.21	1	10.81	102
28-Jan-10	1788.97	1	9.51	103
29-Jan-10	1771.4	1	8.43	104
1-Feb-10	1796.67	1	9.98	105
2-Feb-10	1819.99	1	11.41	106
3-Feb-10	1810.64	1	10.84	107
4-Feb-10	1754.3	1	7.39	108
5-Feb-10	1759.38	1	7.7	109
8-Feb-10	1744.37	1	6.78	110
9-Feb-10	1767.18	1	8.18	111
10-Feb-10	1763.69	1	7.96	112
11-Feb-10	1781.01	1	9.02	113
12-Feb-10	1776.5	1	8.75	114
16-Feb-10	1808.72	1	10.72	115
17-Feb-10	1816.7	1	11.21	116
18-Feb-10	1828.81	1	11.95	117
19-Feb-10	1833.09	1	12.21	118
22-Feb-10	1831.21	1	12.09	119
23-Feb-10	1809.05	1	10.74	120
24-Feb-10	1826.99	1	11.84	121
25-Feb-10	1823.64	1	11.63	122
26-Feb-10	1826.27	1	11.79	123
1-Mar-10	1844.87	1	12.93	124
2-Mar-10	1849.17	1	13.19	125
3-Mar-10	1850.24	1	13.26	126
4-Mar-10	1857.2	1	13.69	127
5-Mar-10	1883.28	1	15.28	128
8-Mar-10	1883.29	1	15.28	129
9-Mar-10	1886.6	1	15.49	130
10-Mar-10	1895.38	1	16.02	131
11-Mar-10	1903.68	1	16.53	132
12-Mar-10	1903.29	0	16.51	133
15-Mar-10	1904.19	0	16.56	134
16-Mar-10	1919.02	0	17.47	135
17-Mar-10	1930.22	0	18.16	136
18-Mar-10	1929.63	0	18.12	137
19-Mar-10	1919.8	0	17.52	138
22-Mar-10	1929.64	0	18.12	139
23-Mar-10	1943.7	0	18.98	140
24-Mar-10	1933.04	0	18.33	141
25-Mar-10	1929.75	0	18.13	142
26-Mar-10	1931.18	0	18.21	143
29-Mar-10	1942.51	0	18.91	144
30-Mar-10	1942.81	0	18.93	145
31-Mar-10	1936.48	0	18.54	146
1-Apr-10	1950.91	0	19.42	147
5-Apr-10	1966.44	0	20.37	148
6-Apr-10	1969.76	0	20.58	149
7-Apr-10	1959.04	0	19.92	150
8-Apr-10	1965.72	0	20.33	151
9-Apr-10	1978.86	0	21.13	152
12-Apr-10	1982.4	0	21.35	153
13-Apr-10	1983.91	0	21.44	154
14-Apr-10	2006.06	0	22.8	155
15-Apr-10	2007.74	0	22.9	156
16-Apr-10	1975.36	0	20.92	157
19-Apr-10	1984.32	0	21.47	158
20-Apr-10	2000.33	0	22.45	159
21-Apr-10	1998.31	0	22.32	160
22-Apr-10	2002.93	0	22.61	161
23-Apr-10	2017.19	0	23.48	162
26-Apr-10	2008.55	1	22.95	163
27-Apr-10	1961.6	1	20.08	164
28-Apr-10	1974.63	1	20.87	165
29-Apr-10	2000.34	1	22.45	166
30-Apr-10	1967.05	1	20.41	167
3-May-10	1992.87	1	21.99	168
4-May-10	1945.37	1	19.08	169
5-May-10	1933.25	1	18.34	170
6-May-10	1870.95	1	14.53	171
7-May-10	1842.32	1	12.77	172
10-May-10	1923.39	1	17.74	173
11-May-10	1917.25	1	17.36	174
12-May-10	1944.25	1	19.01	175
13-May-10	1920.76	1	17.58	176
14-May-10	1884.67	1	15.37	177
17-May-10	1887.11	1	15.52	178
18-May-10	1860.65	1	13.9	179
19-May-10	1851.28	1	13.32	180
20-May-10	1779.3	1	8.92	181
21-May-10	1806.05	1	10.55	182
24-May-10	1782.77	1	9.13	183
25-May-10	1783.4	1	9.17	184
26-May-10	1773.65	1	8.57	185
27-May-10	1832.61	1	12.18	186
28-May-10	1809.98	1	10.79	187
1-Jun-10	1778.99	1	8.9	188
2-Jun-10	1825.25	1	11.73	189
3-Jun-10	1832.72	1	12.19	190
4-Jun-10	1769.72	1	8.33	191
7-Jun-10	1745.87	1	6.87	192
8-Jun-10	1765.29	1	8.06	193
9-Jun-10	1754.91	1	7.42	194
10-Jun-10	1806.69	1	10.59	195
11-Jun-10	1815.26	1	11.12	196
14-Jun-10	1812.02	1	10.92	197
15-Jun-10	1854.61	1	13.53	198
16-Jun-10	1853.62	1	13.47	199
17-Jun-10	1856.25	1	13.63	200
18-Jun-10	1858.7	1	13.78	201
21-Jun-10	1851.55	1	13.34	202
22-Jun-10	1822.05	1	11.53	203
23-Jun-10	1816.65	1	11.2	204
24-Jun-10	1786.13	1	9.34	205
25-Jun-10	1791.24	1	9.65	206
28-Jun-10	1787.94	1	9.45	207
29-Jun-10	1732.55	1	6.06	208
30-Jun-10	1715.23	1	5	209
1-Jul-10	1709.77	1	4.66	210
2-Jul-10	1701.86	1	4.18	211
6-Jul-10	1710.97	1	4.73	212
7-Jul-10	1765.42	1	8.07	213
8-Jul-10	1782.1	1	9.09	214
9-Jul-10	1794.94	1	9.87	215
12-Jul-10	1796.3	1	9.96	216
13-Jul-10	1824.07	1	11.66	217
14-Jul-10	1823.82	1	11.64	218
15-Jul-10	1826	1	11.78	219
16-Jul-10	1773.43	1	8.56	220
19-Jul-10	1784.06	1	9.21	221
20-Jul-10	1804.48	1	10.46	222
21-Jul-10	1781.6	1	9.06	223
