date	close	down	downSize	recovery	redMark	val	v
1-Sep-09	998.04			1		0	0
2-Sep-09	994.75	0	-0.48	2	0	0	0
3-Sep-09	1003.24	0	0.87	3	0	0	0
4-Sep-09	1016.4	0	2.62	4	0	0	0
8-Sep-09	1025.39	0	3.78	5	0	0	0
9-Sep-09	1033.37	0	4.63	6	0	0	0
10-Sep-09	1044.14	0	5.72	7	0	0	0
11-Sep-09	1042.73	0	5.78	8	0	0	0
14-Sep-09	1049.34	0	6.79	9	0	0	0
15-Sep-09	1052.63	0	7.73	10	0	0	0
16-Sep-09	1068.76	0	9.65	11	0	0	0
17-Sep-09	1065.49	0	9.08	12	0	0	0
18-Sep-09	1068.3	0	9.07	13	0	0	0
21-Sep-09	1064.66	0	8.53	14	0	0	0
22-Sep-09	1071.66	0	9.75	15	0	0	0
23-Sep-09	1060.87	0	8.08	16	0	0	0
24-Sep-09	1050.78	0	6.29	17	0	0	0
25-Sep-09	1044.38	0	5.48	18	0	0	0
28-Sep-09	1062.98	0	7.03	19	0	0	0
29-Sep-09	1060.61	0	6.92	20	0	0	0
30-Sep-09	1057.08	0	7.36	21	0	0	0
1-Oct-09	1029.85	0	4.46	22	0	0	0
2-Oct-09	1025.21	0	3.82	23	0	0	0
5-Oct-09	1040.46	0	6.02	24	0	0	0
6-Oct-09	1054.72	0	7.81	25	0	0	0
7-Oct-09	1057.58	0	7.98	26	0	0	0
8-Oct-09	1065.48	0	10.1	27	0	0	0
9-Oct-09	1071.49	0	11.07	28	0	0	0
12-Oct-09	1076.19	0	11.66	29	0	0	0
13-Oct-09	1073.19	0	11.6	30	0	0	0
14-Oct-09	1092.02	0	14	31	0	0	0
15-Oct-09	1096.56	0	14.96	32	0	0	0
16-Oct-09	1087.68	0	14.38	33	0	0	0
19-Oct-09	1097.91	0	15.99	34	0	0	0
20-Oct-09	1091.06	1	15.54	35	0	0	0
21-Oct-09	1081.4	1	14.55	36	0	0	0
22-Oct-09	1092.91	1	15.28	37	0	0	0
23-Oct-09	1079.6	1	12.88	38	0	0	0
26-Oct-09	1066.95	1	11.63	39	0	0	0
27-Oct-09	1063.41	1	10.76	40	0	0	0
28-Oct-09	1042.63	1	7.65	41	0	0	0
29-Oct-09	1066.11	1	10.16	42	0	0	0
30-Oct-09	1036.19	1	6.76	43	0	0	0
2-Nov-09	1042.88	1	7.61	44	0	0	0
3-Nov-09	1045.41	1	9.08	45	0	0	0
4-Nov-09	1046.5	1	9.55	46	0	0	0
5-Nov-09	1066.63	1	10.95	47	0	0	0
6-Nov-09	1069.3	1	11.21	48	0	0	0
9-Nov-09	1093.08	1	13.84	49	0	0	0
10-Nov-09	1093.01	1	13.75	50	0	0	0
11-Nov-09	1098.51	1	14.1	51	0	0	0
12-Nov-09	1087.24	1	12.41	52	0	0	0
13-Nov-09	1093.48	1	12.81	53	0	0	0
16-Nov-09	1109.3	1	14.93	54	0	0	0
17-Nov-09	1110.32	1	14.97	55	0	0	0
18-Nov-09	1109.8	1	14.22	56	0	0	0
19-Nov-09	1094.9	1	12.27	57	0	0	0
20-Nov-09	1091.38	1	11.96	58	0	0	0
23-Nov-09	1106.24	1	13.13	59	0	0	0
24-Nov-09	1105.65	1	13.05	60	0	0	0
25-Nov-09	1110.63	1	14.09	61	0	0	0
27-Nov-09	1091.49	1	12.05	62	0	0	0
30-Nov-09	1095.63	1	12.17	63	0	0	0
1-Dec-09	1108.86	1	13.83	64	0	0	0
2-Dec-09	1109.24	1	13.41	65	0	0	0
3-Dec-09	1099.92	1	12.15	66	0	0	0
4-Dec-09	1105.98	1	12.57	67	0	0	0
7-Dec-09	1103.25	1	13	68	0	0	0
8-Dec-09	1091.94	1	11.88	69	0	0	0
9-Dec-09	1095.95	1	12.03	70	0	0	0
10-Dec-09	1102.35	1	13.05	71	0	0	0
11-Dec-09	1106.41	1	13.42	72	0	0	0
14-Dec-09	1114.11	1	14.53	73	0	0	0
15-Dec-09	1107.93	1	14.35	74	0	0	0
16-Dec-09	1109.18	1	14.2	75	0	0	0
17-Dec-09	1096.08	1	12.84	76	0	0	0
18-Dec-09	1102.47	1	13.17	77	0	0	0
21-Dec-09	1114.05	1	14.33	78	0	0	0
22-Dec-09	1118.02	1	14.42	79	0	0	0
23-Dec-09	1120.59	1	14.86	80	0	0	0
24-Dec-09	1126.48	1	15.12	81	0	0	0
28-Dec-09	1127.78	1	15.51	82	0	0	0
29-Dec-09	1126.2	1	15.74	83	0	0	0
30-Dec-09	1126.42	1	15.71	84	0	0	0
31-Dec-09	1115.1	1	14.54	85	0	0	0
4-Jan-10	1132.99	1	16.05	86	0	0	0
5-Jan-10	1136.52	0	16.54	87	0	0	0
6-Jan-10	1137.14	0	16.62	88	0	0	0
7-Jan-10	1141.69	0	17.25	89	0	0	0
8-Jan-10	1144.98	0	17.94	90	0	0	0
11-Jan-10	1146.98	0	18.33	91	0	0	0
12-Jan-10	1136.22	0	17.81	92	0	0	0
13-Jan-10	1145.68	0	18.81	93	0	0	0
14-Jan-10	1148.46	0	19.01	94	0	0	0
15-Jan-10	1136.03	0	17.95	95	0	0	0
19-Jan-10	1150.23	0	19.16	96	0	0	0
20-Jan-10	1138.04	1	17.86	97	0	0	0
21-Jan-10	1116.48	1	16.34	98	0	0	0
22-Jan-10	1091.76	1	14.65	99	0	0	0
25-Jan-10	1096.78	1	15.58	100	0	0	0
26-Jan-10	1092.17	1	15.69	101	0	0	0
27-Jan-10	1097.5	1	15.69	102	0	0	0
28-Jan-10	1084.53	1	14.23	103	0	0	0
29-Jan-10	1073.87	1	13.15	104	0	0	0
1-Feb-10	1089.19	1	15.14	105	0	0	0
2-Feb-10	1103.32	1	16.67	106	0	0	0
3-Feb-10	1097.28	1	16.12	107	0	0	0
4-Feb-10	1063.11	1	12.87	108	0	0	0
5-Feb-10	1066.19	1	12.53	109	0	0	0
8-Feb-10	1056.74	1	11.77	110	0	0	0
9-Feb-10	1070.52	1	13.31	111	0	0	0
10-Feb-10	1068.13	1	12.95	112	0	0	0
11-Feb-10	1078.47	1	14.22	113	0	0	0
12-Feb-10	1075.51	1	13.88	114	0	0	0
16-Feb-10	1094.87	1	15.62	115	0	0	0
17-Feb-10	1099.51	1	16.48	116	0	0	0
18-Feb-10	1106.75	1	17.35	117	0	0	0
19-Feb-10	1109.17	1	17.81	118	0	0	0
22-Feb-10	1108.01	1	17.81	119	0	0	0
23-Feb-10	1094.6	1	16.87	120	0	0	0
24-Feb-10	1105.24	1	17.74	121	0	0	0
25-Feb-10	1102.94	1	17.7	122	0	0	0
26-Feb-10	1104.49	1	17.64	123	0	0	0
1-Mar-10	1115.71	1	18.77	124	0	0	0
2-Mar-10	1118.31	1	19.08	125	0	0	0
3-Mar-10	1118.79	1	19.07	126	0	0	0
4-Mar-10	1122.97	1	19.32	127	0	0	0
5-Mar-10	1138.7	0	20.63	128	0	0	0
8-Mar-10	1138.5	0	20.56	129	0	0	0
9-Mar-10	1140.45	0	20.84	130	0	0	0
10-Mar-10	1145.61	0	21.36	131	0	0	0
11-Mar-10	1150.24	0	21.8	132	0	0	0
12-Mar-10	1149.99	0	21.66	133	0	0	0
15-Mar-10	1150.51	0	22.21	134	0	0	0
16-Mar-10	1159.46	0	22.99	135	0	0	0
17-Mar-10	1166.21	0	23.68	136	0	0	0
18-Mar-10	1165.83	0	24.31	137	0	0	0
19-Mar-10	1159.9	0	23.54	138	0	0	0
22-Mar-10	1165.81	0	24.28	139	0	0	0
23-Mar-10	1174.17	0	24.67	140	0	0	0
24-Mar-10	1167.72	0	23.72	141	0	0	0
25-Mar-10	1165.73	0	23.53	142	0	0	0
26-Mar-10	1166.59	0	23.7	143	0	0	0
29-Mar-10	1173.22	0	24.53	144	0	0	0
30-Mar-10	1173.27	0	24.96	145	0	0	0
31-Mar-10	1169.43	0	24.37	146	0	0	0
1-Apr-10	1178.1	0	25.08	147	0	0	0
5-Apr-10	1187.44	0	26.06	148	0	0	0
6-Apr-10	1189.44	0	25.77	149	0	0	0
7-Apr-10	1182.45	0	25.24	150	0	0	0
8-Apr-10	1186.44	0	25.72	151	0	0	0
9-Apr-10	1194.37	0	26.69	152	0	0	0
12-Apr-10	1196.48	0	26.77	153	0	0	0
13-Apr-10	1197.3	0	26.87	154	0	0	0
14-Apr-10	1210.65	0	27.37	155	0	0	0
15-Apr-10	1211.67	0	27.52	156	0	0	0
16-Apr-10	1192.13	0	26.22	157	0	0	0
19-Apr-10	1197.52	0	26.75	158	0	0	0
20-Apr-10	1207.17	0	28.01	159	0	0	0
21-Apr-10	1205.94	0	28.39	160	0	0	0
22-Apr-10	1208.67	0	29.34	161	0	0	0
23-Apr-10	1217.28	0	29.99	162	0	0	0
26-Apr-10	1212.05	1	29.69	163	1	1212.05	1212.05
27-Apr-10	1183.71	1	27.17	164	1	1212.05	1212.05
28-Apr-10	1191.36	1	27.19	165	1	1212.05	1212.05
29-Apr-10	1206.78	1	29.17	166	1	1212.05	1212.05
30-Apr-10	1186.69	1	27.09	167	1	1212.05	1212.05
3-May-10	1202.26	1	28.75	168	1	1212.05	1212.05
4-May-10	1173.6	1	25.97	169	1	1212.05	1212.05
5-May-10	1165.87	1	25.46	170	1	1212.05	1212.05
6-May-10	1128.15	1	22.15	171	1	1212.05	1212.05
7-May-10	1110.88	1	19.72	172	1	1212.05	1212.05
10-May-10	1159.73	1	25.05	173	1	1212.05	1212.05
11-May-10	1155.79	1	24.63	174	1	1212.05	1212.05
12-May-10	1171.67	1	26.41	175	1	1212.05	1212.05
13-May-10	1157.44	1	24.81	176	1	1212.05	1212.05
14-May-10	1135.68	1	22.76	177	1	1212.05	1212.05
17-May-10	1136.94	1	23.21	178	1	1212.05	1212.05
18-May-10	1120.8	1	21.99	179	1	1212.05	1212.05
19-May-10	1115.05	1	20.92	180	1	1212.05	1212.05
20-May-10	1071.59	1	16.78	181	1	1212.05	1212.05
21-May-10	1087.69	1	18.51	182	1	1212.05	1212.05
24-May-10	1073.65	1	17.35	183	1	1212.05	1212.05
25-May-10	1074.03	1	17.58	184	1	1212.05	1212.05
26-May-10	1067.95	1	16.89	185	1	1212.05	1212.05
27-May-10	1103.06	1	19.52	186	1	1212.05	1212.05
28-May-10	1089.41	1	18.3	187	1	1212.05	1212.05
1-Jun-10	1070.71	1	16.47	188	1	1212.05	1212.05
2-Jun-10	1098.38	1	19.35	189	1	1212.05	1212.05
3-Jun-10	1102.83	1	19.76	190	1	1212.05	1212.05
4-Jun-10	1064.88	1	15.68	191	1	1212.05	1212.05
7-Jun-10	1050.47	1	13.75	192	1	1212.05	1212.05
8-Jun-10	1062	1	14.7	193	1	1212.05	1212.05
9-Jun-10	1055.69	1	14.51	194	1	1212.05	1212.05
10-Jun-10	1086.84	1	17.61	195	1	1212.05	1212.05
11-Jun-10	1091.6	1	18.19	196	1	1212.05	1212.05
14-Jun-10	1089.63	1	18.41	197	1	1212.05	1212.05
15-Jun-10	1115.23	1	20.87	198	1	1212.05	1212.05
16-Jun-10	1114.61	1	20.72	199	1	1212.05	1212.05
17-Jun-10	1116.04	1	20.75	200	1	1212.05	1212.05
18-Jun-10	1117.51	1	20.93	201	1	1212.05	1212.05
21-Jun-10	1113.2	1	20.42	202	1	1212.05	1212.05
22-Jun-10	1095.31	1	18.25	203	1	1212.05	1212.05
23-Jun-10	1092.04	1	17.96	204	1	1212.05	1212.05
24-Jun-10	1073.69	1	15.76	205	1	1212.05	1212.05
25-Jun-10	1076.76	1	15.65	206	1	1212.05	1212.05
28-Jun-10	1074.57	1	16.15	207	1	1212.05	1212.05
29-Jun-10	1041.24	1	12.98	208	1	1212.05	1212.05
30-Jun-10	1030.71	1	12.24	209	1	1212.05	1212.05
1-Jul-10	1027.37	1	12.4	210	1	1212.05	1212.05
2-Jul-10	1022.58	1	11.93	211	1	1212.05	1212.05
6-Jul-10	1028.06	1	11.86	212	1	1212.05	1212.05
7-Jul-10	1060.27	1	14.77	213	1	1212.05	1212.05
8-Jul-10	1070.25	1	15.76	214	1	1212.05	1212.05
9-Jul-10	1077.96	1	16.3	215	1	1212.05	1212.05
12-Jul-10	1078.75	1	16.55	216	1	1212.05	1212.05
13-Jul-10	1095.34	1	18.15	217	1	1212.05	1212.05
14-Jul-10	1095.17	1	18.6	218	1	1212.05	1212.05
15-Jul-10	1096.48	1	18.93	219	1	1212.05	1212.05
16-Jul-10	1064.88	1	15.98	220	1	1212.05	1212.05
19-Jul-10	1071.25	1	16.23	221	1	1212.05	1212.05
20-Jul-10	1083.48	1	17.83	222	1	1212.05	1212.05
21-Jul-10	1069.59	1	16.23	223	1	1212.05	1212.05
22-Jul-10	1093.67	1	17.94	224	1	1212.05	1212.05
23-Jul-10	1102.66	1	19.26	225	1	1212.05	1212.05
26-Jul-10	1115.01	1	20.22	226	1	1212.05	1212.05
27-Jul-10	1113.84	1	19.38	227	1	1212.05	1212.05
28-Jul-10	1106.13	1	19.22	228	1	1212.05	1212.05
29-Jul-10	1101.53	1	18.82	229	1	1212.05	1212.05
30-Jul-10	1101.6	1	19.25	230	1	1212.05	1212.05
2-Aug-10	1125.86	1	21.48	231	1	1212.05	1212.05
3-Aug-10	1120.46	1	20.91	232	1	1212.05	1212.05
4-Aug-10	1127.24	1	21.96	233	1	1212.05	1212.05
5-Aug-10	1125.81	1	22.28	234	1	1212.05	1212.05
6-Aug-10	1121.64	1	22.1	235	1	1212.05	1212.05
9-Aug-10	1127.79	1	22.66	236	1	1212.05	1212.05
10-Aug-10	1121.06	1	21.86	237	1	1212.05	1212.05
11-Aug-10	1089.47	1	18.54	238	1	1212.05	1212.05
12-Aug-10	1083.61	1	18.03	239	1	1212.05	1212.05
13-Aug-10	1079.25	1	17.51	240	1	1212.05	1212.05
16-Aug-10	1079.38	1	17.48	241	1	1212.05	1212.05
17-Aug-10	1092.54	1	19.36	242	1	1212.05	1212.05
18-Aug-10	1094.16	1	19.57	243	1	1212.05	1212.05
19-Aug-10	1075.63	1	17.55	244	1	1212.05	1212.05
20-Aug-10	1071.69	1	17.26	245	1	1212.05	1212.05
23-Aug-10	1067.36	1	17.02	246	1	1212.05	1212.05
24-Aug-10	1051.87	1	14.67	247	1	1212.05	1212.05
25-Aug-10	1055.33	1	15.03	248	1	1212.05	1212.05
26-Aug-10	1047.22	1	14.6	249	1	1212.05	1212.05
27-Aug-10	1064.59	1	16.26	250	1	1212.05	1212.05
30-Aug-10	1048.92	1	14.79	251	1	1212.05	1212.05
31-Aug-10	1049.33	1	13.94	252	1	1212.05	1212.05
1-Sep-10	1080.29	1	17.42	253	1	1212.05	1212.05
2-Sep-10	1090.1	1	18.57	254	1	1212.05	1212.05
3-Sep-10	1104.51	1	19.87	255	1	1212.05	1212.05
7-Sep-10	1091.84	1	19.01	256	1	1212.05	1212.05
8-Sep-10	1098.87	1	19.45	257	1	1212.05	1212.05
9-Sep-10	1104.18	1	19.72	258	1	1212.05	1212.05
10-Sep-10	1109.55	1	20.62	259	1	1212.05	1212.05
13-Sep-10	1121.9	1	21.79	260	1	1212.05	1212.05
14-Sep-10	1121.1	1	22.09	261	1	1212.05	1212.05
15-Sep-10	1125.07	1	22.63	262	1	1212.05	1212.05
16-Sep-10	1124.66	1	22.54	263	1	1212.05	1212.05
17-Sep-10	1125.59	1	23.17	264	1	1212.05	1212.05
20-Sep-10	1142.71	1	24.62	265	1	1212.05	1212.05
21-Sep-10	1139.78	1	24.28	266	1	1212.05	1212.05
22-Sep-10	1134.28	1	23.72	267	1	1212.05	1212.05
23-Sep-10	1124.83	1	22.69	268	1	1212.05	1212.05
24-Sep-10	1148.67	1	25.44	269	1	1212.05	1212.05
27-Sep-10	1142.16	1	24.2	270	1	1212.05	1212.05
28-Sep-10	1147.7	1	24.81	271	1	1212.05	1212.05
29-Sep-10	1144.73	1	24.35	272	1	1212.05	1212.05
30-Sep-10	1141.2	1	23.98	273	1	1212.05	1212.05
1-Oct-10	1146.24	1	23.99	274	1	1212.05	1212.05
4-Oct-10	1137.03	1	23.03	275	1	1212.05	1212.05
5-Oct-10	1160.75	1	25.33	276	1	1212.05	1212.05
6-Oct-10	1159.97	1	25.69	277	1	1212.05	1212.05
7-Oct-10	1158.06	1	25.35	278	1	1212.05	1212.05
8-Oct-10	1165.15	1	26.11	279	1	1212.05	1212.05
11-Oct-10	1165.32	1	26.05	280	1	1212.05	1212.05
