date,close,down,downSize,recovery,redMark,,val
1-Sep-09,1633.63, ,,1, ,,0
2-Sep-09,1628.66,0,-0.3,2,0,,0
3-Sep-09,1642.68,0,0.55,3,0,,0
4-Sep-09,1664.34,0,1.88,4,0,,0
8-Sep-09,1679.32,0,2.8,5,0,,0
9-Sep-09,1692.48,0,3.6,6,0,,0
10-Sep-09,1710.14,0,4.68,7,0,,0
11-Sep-09,1708.18,0,4.56,8,0,,0
14-Sep-09,1719.04,0,5.23,9,0,,0
15-Sep-09,1724.45,0,5.56,10,0,,0
16-Sep-09,1750.91,0,7.18,11,0,,0
17-Sep-09,1745.8,0,6.87,12,0,,0
18-Sep-09,1750.43,0,7.15,13,0,,0
21-Sep-09,1744.47,0,6.78,14,0,,0
22-Sep-09,1755.99,0,7.49,15,0,,0
23-Sep-09,1738.32,0,6.41,16,0,,0
24-Sep-09,1722.02,0,5.41,17,0,,0
25-Sep-09,1711.53,0,4.77,18,0,,0
28-Sep-09,1742.32,0,6.65,19,0,,0
29-Sep-09,1738.48,0,6.42,20,0,,0
30-Sep-09,1732.86,0,6.07,21,0,,0
1-Oct-09,1688.24,0,3.34,22,0,,0
2-Oct-09,1680.7,0,2.88,23,0,,0
5-Oct-09,1705.73,0,4.41,24,0,,0
6-Oct-09,1729.14,0,5.85,25,0,,0
7-Oct-09,1734.74,0,6.19,26,0,,0
8-Oct-09,1747.7,0,6.98,27,0,,0
9-Oct-09,1757.6,0,7.59,28,0,,0
12-Oct-09,1765.31,0,8.06,29,0,,0
13-Oct-09,1760.51,0,7.77,30,0,,0
14-Oct-09,1791.47,0,9.66,31,0,,0
15-Oct-09,1798.91,0,10.12,32,0,,0
16-Oct-09,1784.35,0,9.23,33,0,,0
19-Oct-09,1801.12,0,10.25,34,0,,0
20-Oct-09,1789.93,1,9.57,35,0,,0
21-Oct-09,1774.33,1,8.61,36,0,,0
22-Oct-09,1793.34,1,9.78,37,0,,0
23-Oct-09,1771.5,1,8.44,38,0,,0
26-Oct-09,1750.75,1,7.17,39,0,,0
27-Oct-09,1744.95,1,6.81,40,0,,0
28-Oct-09,1711.09,1,4.74,41,0,,0
29-Oct-09,1749.76,1,7.11,42,0,,0
30-Oct-09,1700.67,1,4.1,43,1,1804.93,1804.93
2-Nov-09,1711.65,1,4.78,44,1,,1804.93
3-Nov-09,1715.81,1,5.03,45,1,,1804.93
4-Nov-09,1718.21,1,5.18,46,1,,1804.93
5-Nov-09,1751.45,1,7.21,47,1,,1804.93
6-Nov-09,1756.07,1,7.49,48,1,,1804.93
9-Nov-09,1795.56,1,9.91,49,1,,1804.93
10-Nov-09,1795.9,1,9.93,50,1,,1804.93
11-Nov-09,1804.93,1,10.49,51,1,,1804.93
12-Nov-09,1786.66,0,9.37,52,1,,1804.93
13-Nov-09,1796.93,0,10,53,1,,1804.93
16-Nov-09,1823.29,0,11.61,54,0,,0
17-Nov-09,1825.18,0,11.73,55,0,,0
