,,,,,,,S&P 500 Total Return,,,,,,,N'th,,Row of,High Price,Row of ,,Value ,# Days Since,Length of ,Min Value,Start ,,
,,,,,,,Closing,Daily,Closing Price,,,,% Max,Largest,Drawdown,Drawdown,Prior to ,1st Day of,,At,Prior ,Drawdown,During,Date of,,
,Date,,,,,,Price,% Return,(100 scale),100,0,,Drawdown,Drawdown,Size,Recovery,Drawdown,Drawdown,,Recovery,Drawdown,in # Days,Drawdown,Drawdown,,
1,9/1/2009,,,,,,"1,633.63",,100,100,0,,,1,18.59%,628,141.14,436,192,141.56,196,192,114.83,10/3/2011,,192
2,9/2/2009,,,,,,"1,628.66",-0.30%,99.7,100,0.3,,,2,15.41%,314,123.48,179,135,125.22,136,135,104.18,7/2/2010,,135
3,9/3/2009,,,,,,"1,642.68",0.86%,100.55,100.55,0,0.3,0.30%,3,12.95%,1684,241.14,1497,187,241.29,189,187,209.9,2/11/2016,,187
4,9/4/2009,,,,,,"1,664.34",1.32%,101.88,101.88,0,,,4,9.52%,763,149.92,669,94,150.85,95,94,135.55,6/1/2012,,94
5,9/8/2009,,,,,,"1,679.32",0.90%,102.8,102.8,0,,,5,8.00%,148,116.1,113,35,116.53,36,35,106.78,2/8/2010,,35
6,9/9/2009,,,,,,"1,692.48",0.78%,103.6,103.6,0,,,6,7.27%,856,156.47,784,72,157.23,74,72,145.03,11/15/2012,,77
7,9/10/2009,,,,,,"1,710.14",1.04%,104.68,104.68,0,,,7,7.25%,1318,224.15,1288,30,225.26,31,30,207.82,10/15/2014,,30
8,9/11/2009,,,,,,"1,708.18",-0.11%,104.56,104.68,0.12,,,8,6.23%,432,138.57,388,44,139.41,47,44,129.89,3/16/2011,,44
9,9/14/2009,,,,,,"1,719.04",0.64%,105.23,105.23,0,0.12,0.11%,9,5.71%,1143,203.09,1118,25,203.52,26,25,191.47,2/3/2014,,25
10,9/15/2009,,,,,,"1,724.45",0.31%,105.56,105.56,0,,,10,5.57%,67,110.25,51,16,110.49,17,16,104.1,10/30/2009,,16
11,9/16/2009,,,,,,"1,750.91",1.53%,107.18,107.18,0,,,11,5.55%,987,180.93,953,34,182.11,35,34,170.83,6/24/2013,,
12,9/17/2009,,,,,,"1,745.80",-0.29%,106.87,107.18,0.31,,,12,5.48%,1741,244.97,1721,20,246.67,23,20,231.45,6/27/2016,,
13,9/18/2009,,,,,,"1,750.43",0.27%,107.15,107.18,0.31,,,13,4.88%,1353,232.29,1343,10,232.85,11,10,220.92,12/16/2014,,
14,9/21/2009,,,,,,"1,744.47",-0.34%,106.78,107.18,0.39,,,14,4.60%,1388,234.26,1358,30,234.65,35,30,223.47,1/15/2015,,
15,9/22/2009,,,,,,"1,755.99",0.66%,107.49,107.49,0,0.39,0.37%,15,4.45%,1034,186,1004,30,186.07,32,30,177.72,8/27/2013,,
16,9/23/2009,,,,,,"1,738.32",-1.01%,106.41,107.49,1.08,,,16,4.37%,1832,254.14,1768,64,254.38,65,64,243.02,11/4/2016,,
17,9/24/2009,,,,,,"1,722.02",-0.94%,105.41,107.49,2.08,,,17,4.28%,44,107.49,32,12,107.59,13,12,102.88,10/2/2009,,
18,9/25/2009,,,,,,"1,711.53",-0.61%,104.77,107.49,2.72,,,18,3.92%,1056,188.34,1036,20,189.48,22,20,180.91,10/8/2013,,
19,9/28/2009,,,,,,"1,742.32",1.80%,106.65,107.49,2.72,,,19,3.90%,1197,208.73,1171,26,209.78,28,26,200.54,4/11/2014,,
20,9/29/2009,,,,,,"1,738.48",-0.22%,106.42,107.49,2.72,,,20,3.85%,1267,220.74,1249,18,221.01,20,18,212.24,8/7/2014,,
21,9/30/2009,,,,,,"1,732.86",-0.32%,106.07,107.49,2.72,,,21,3.77%,334,125.72,316,18,125.88,20,18,120.97,11/16/2010,,
22,10/1/2009,,,,,,"1,688.24",-2.57%,103.34,107.49,4.15,,,22,3.69%,1495,240.75,1457,38,240.95,39,38,231.86,7/8/2015,,
23,10/2/2009,,,,,,"1,680.70",-0.45%,102.88,107.49,4.61,,,23,3.58%,1436,238.14,1400,36,238.21,37,36,229.62,3/11/2015,,
24,10/5/2009,,,,,,"1,705.73",1.49%,104.41,107.49,4.61,,,24,3.24%,936,172.32,925,11,172.4,13,11,166.73,4/18/2013,,
25,10/6/2009,,,,,,"1,729.14",1.37%,105.85,107.49,4.61,,,25,2.76%,1713,242.24,1687,26,242.51,29,26,235.55,5/19/2016,,
26,10/7/2009,,,,,,"1,734.74",0.32%,106.19,107.49,4.61,,,26,2.76%,898,165.05,889,9,166.15,10,9,160.47,2/25/2013,,
27,10/8/2009,,,,,,"1,747.70",0.75%,106.98,107.49,4.61,,,27,2.19%,654,144.95,647,7,147.39,8,7,141.72,3/6/2012,,
28,10/9/2009,,,,,,"1,757.60",0.57%,107.59,107.59,0,4.61,4.28%,28,1.90%,1169,207.06,1153,16,208.1,20,16,203.09,3/14/2014,,
29,10/12/2009,,,,,,"1,765.31",0.44%,108.06,108.06,0,,,29,1.78%,1099,198.33,1093,6,198.67,7,6,194.79,12/13/2013,,
30,10/13/2009,,,,,,"1,760.51",-0.27%,107.77,108.06,0.29,,,30,1.77%,374,133.87,372,2,134.7,4,2,131.48,1/28/2011,,
31,10/14/2009,,,,,,"1,791.47",1.76%,109.66,109.66,0,0.29,0.27%,31,1.71%,1447,238.75,1438,9,238.79,11,9,234.67,5/6/2015,,
32,10/15/2009,,,,,,"1,798.91",0.42%,110.12,110.12,0,,,32,1.69%,89,111.82,78,11,112.3,12,11,109.92,11/27/2009,,
33,10/16/2009,,,,,,"1,784.35",-0.81%,109.23,110.12,0.89,,,33,1.67%,77,111.73,72,5,111.82,7,5,109.86,11/20/2009,,
34,10/19/2009,,,,,,"1,801.12",0.94%,110.25,110.25,0,0.89,0.81%,34,1.61%,94,112.3,90,4,112.3,5,4,110.49,12/17/2009,,
35,10/20/2009,,,,,1,"1,789.93",-0.62%,109.57,110.25,0.68,,,35,1.61%,178,122.9,173,5,123.48,10,5,120.92,4/16/2010,,
36,10/21/2009,,,,,1,"1,774.33",-0.87%,108.61,110.25,1.64,,,36,1.52%,1117,202.96,1108,9,203.09,10,9,199.88,1/13/2014,,
37,10/22/2009,,,,,1,"1,793.34",1.07%,109.78,110.25,1.64,,,37,1.36%,1865,265.54,1852,13,265.71,14,13,261.91,12/30/2016,,
38,10/23/2009,,,,,1,"1,771.50",-1.22%,108.44,110.25,1.81,,,38,1.36%,1206,209.92,1199,7,210.43,9,7,207.06,5/15/2014,,
39,10/26/2009,,,,,1,"1,750.75",-1.17%,107.17,110.25,3.08,,,39,1.30%,1247,220.29,1235,12,220.63,15,12,217.41,7/17/2014,,
40,10/27/2009,,,,,1,"1,744.95",-0.33%,106.81,110.25,3.44,,,40,1.30%,1072,193.75,1071,1,193.81,2,1,191.24,11/7/2013,,
41,10/28/2009,,,,,1,"1,711.09",-1.94%,104.74,110.25,5.51,,,41,1.23%,777,151.14,765,12,152.8,14,12,149.25,8/30/2012,,
42,10/29/2009,,,,,1,"1,749.76",2.26%,107.11,110.25,5.51,,,42,1.19%,663,148.85,659,4,149.58,7,4,147.08,3/22/2012,,
43,10/30/2009,,,,,1,"1,700.67",-2.81%,104.1,110.25,6.15,,,43,1.18%,1092,198.1,1086,6,198.33,7,6,195.75,12/5/2013,,
44,11/2/2009,,,,,1,"1,711.65",0.65%,104.78,110.25,6.15,,,44,1.15%,882,162.87,878,4,163.49,5,4,160.99,2/4/2013,,
45,11/3/2009,,,,,1,"1,715.81",0.24%,105.03,110.25,6.15,,,45,1.12%,370,133.37,365,5,133.56,7,5,131.86,1/20/2011,,
