candidate_district_checked,candidate_id_checked,Name,candidate_office_checked,candidate_party_checked,candidate_state_checked,candidate_url,Sector,committee_url,date_signed_formatted,district_checked,election_code,election_other_description,Growth of $1 during Run,expenditure_date_formatted,expenditure_purpose_code,expenditure_purpose_descrip,filer_committee_id_number,form_type,memo_code,memo_text_description,payee_city,payee_name_simplified,payee_organization_name,payee_state,payee_street_1,payee_street_2,payee_zip,race_url,short_office,superceded_by_amendment,support_oppose_checked,transaction_id,,,,
0,P60006111,Flowserve Corporation,P,R,US,/candidate/2016/cruz-rafael-edward-ted/P60006111/,Industrials,/committee/2016/stand-fortruth-inc/C00592337/,,1522,P2016,,105,1992-07-30,,"Advertising - digital - also opposes Rubio, Trump",C00592337,SE,, ,Washington,"Digital Freedom, LLC","Digital Freedom, LLC",DC,PO Box 65448,,20035,,,FALSE,S,SE.4399,,,,
0,P60006723,WestRock Company,P,R,US,/candidate/2016/rubio-marco/P60006723/,Materials,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,18,2007-04-06,,online advertising-also opposes Trump and Cruz,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.6100,,,,
0,P60006111,J. B. Hunt Transport Services,P,R,US,/candidate/2016/cruz-rafael-edward-ted/P60006111/,Industrials,/committee/2016/stand-fortruth-inc/C00592337/,,1522,P2016,,68,1987-02-23,,"Media Production - also opposes Rubio, Trump",C00592337,SE,, ,Houston,"One Harbor, LLC","One Harbor, LLC",TX,PO Box 22942,,77227,,,FALSE,S,SE.4400,,,, 
0,P60006723,Bed Bath & Beyond,P,R,US,/candidate/2016/rubio-marco/P60006723/,Consumer Discretionary,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,26,1999-11-15,,media placement-also opposes Trump and Cruz,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.6098,,,,
0,P60006111,Cintas Corporation,P,R,US,/candidate/2016/cruz-rafael-edward-ted/P60006111/,Industrials,/committee/2016/stand-fortruth-inc/C00592337/,,1522,P2016,,22,2005-08-27,,"Advertising - TV - also opposes Rubio, Trump",C00592337,SE,, ,Alexandria,"SRCP Media, Inc.","SRCP Media, Inc.",VA,201 North Union Street,Suite 200,22314,,,FALSE,S,SE.4401,,,,
0,P60006723,CBOE Holdings,P,R,US,/candidate/2016/rubio-marco/P60006723/,Financials,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,89,1997-12-08,,media placement-also opposes Trump and Cruz,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.6087,,,,
0,P60006723,Patterson Companies,P,R,US,/candidate/2016/rubio-marco/P60006723/,Health Care,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,84,2000-01-18,,media placement-also opposes Trump and Cruz,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.6085,,,,
0,P60006723,Southwestern Energy,P,R,US,/candidate/2016/rubio-marco/P60006723/,Energy,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,93,2001-06-25,,online advertising-also opposes Trumpa and Cruz,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.6083,,,,
0,P60008059,Hess Corporation,P,R,US,/candidate/2016/bush-jeb/P60008059/,Energy,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,48,2003-03-10,,Phone calls,C00571372,SE,, ,Tallahassee,Strategic Direction,Strategic Direction,FL,P.O. Box 795,,32302,,,FALSE,S,1,,,,
0,P60006111,Intercontinental Exchange,P,R,US,/candidate/2016/cruz-rafael-edward-ted/P60006111/,Financials,/committee/2016/keep-the-promise-i/C00575373/,,1522,P2016,,52,1985-04-20,,VOTER CONTACT SVCS - PUBLICATIONS/VOTER CANVASSING,C00575373,SE,, ,LAS VEGAS,CAMPAIGN DATA SOLUTIONS,CAMPAIGN DATA SOLUTIONS,NM,7740 TINTED MESA CT.,,89149,,,FALSE,S,SE.5233,,,,
