DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,
8/9/2017,159.26,161.27,159.11,161.06,25640394,0,1,159.26,161.27,159.11,161.06,25640394,161.06
8/8/2017,158.6,161.83,158.27,160.08,36205896,0,1,158.6,161.83,158.27,160.08,36205896,160.08
8/7/2017,157.06,158.92,156.6701,158.81,21870321,0,1,157.06,158.92,156.6701,158.81,21870321,158.81
8/4/2017,156.07,157.4,155.69,156.39,20559852,0,1,156.07,157.4,155.69,156.39,20559852,156.39
8/3/2017,157.05,157.21,155.02,155.57,27097296,0,1,157.05,157.21,155.02,155.57,27097296,155.57
8/2/2017,159.28,159.75,156.16,157.14,69936800,0,1,159.28,159.75,156.16,157.14,69936800,157.14
8/1/2017,149.1,150.22,148.41,150.05,35368645,0,1,149.1,150.22,148.41,150.05,35368645,150.05
7/31/2017,149.9,150.33,148.13,148.73,19845920,0,1,149.9,150.33,148.13,148.73,19845920,148.73
7/28/2017,149.89,150.23,149.19,149.5,17213653,0,1,149.89,150.23,149.19,149.5,17213653,149.5
7/27/2017,153.75,153.99,147.3,150.56,32476337,0,1,153.75,153.99,147.3,150.56,32476337,150.56
7/26/2017,153.35,153.93,153.06,153.46,15780951,0,1,153.35,153.93,153.06,153.46,15780951,153.46
7/25/2017,151.8,153.84,151.8,152.74,18853932,0,1,151.8,153.84,151.8,152.74,18853932,152.74
7/24/2017,150.58,152.44,149.9,152.09,21493160,0,1,150.58,152.44,149.9,152.09,21493160,152.09
7/21/2017,149.99,150.44,148.88,150.27,26252630,0,1,149.99,150.44,148.88,150.27,26252630,150.27
7/20/2017,151.5,151.74,150.19,150.34,17243748,0,1,151.5,151.74,150.19,150.34,17243748,150.34
7/19/2017,150.48,151.42,149.95,151.02,20922969,0,1,150.48,151.42,149.95,151.02,20922969,151.02
7/18/2017,149.2,150.13,148.67,150.08,17868792,0,1,149.2,150.13,148.67,150.08,17868792,150.08
7/17/2017,148.82,150.9,148.57,149.56,23793456,0,1,148.82,150.9,148.57,149.56,23793456,149.56
7/14/2017,147.97,149.33,147.33,149.04,20132061,0,1,147.97,149.33,147.33,149.04,20132061,149.04
7/13/2017,145.5,148.49,145.44,147.77,25199373,0,1,145.5,148.49,145.44,147.77,25199373,147.77
7/12/2017,145.87,146.18,144.82,145.74,24884478,0,1,145.87,146.18,144.82,145.74,24884478,145.74
7/11/2017,144.73,145.85,144.38,145.53,19781836,0,1,144.73,145.85,144.38,145.53,19781836,145.53
7/10/2017,144.11,145.95,143.37,145.06,21090636,0,1,144.11,145.95,143.37,145.06,21090636,145.06
7/7/2017,142.9,144.75,142.9,144.18,19201712,0,1,142.9,144.75,142.9,144.18,19201712,144.18
7/6/2017,143.02,143.5,142.41,142.73,24128782,0,1,143.02,143.5,142.41,142.73,24128782,142.73
7/5/2017,143.69,144.79,142.7237,144.09,21569557,0,1,143.69,144.79,142.7237,144.09,21569557,144.09
7/3/2017,144.88,145.3001,143.1,143.5,14276812,0,1,144.88,145.3001,143.1,143.5,14276812,143.5
6/30/2017,144.45,144.96,143.78,144.02,23024107,0,1,144.45,144.96,143.78,144.02,23024107,144.02
6/29/2017,144.71,145.13,142.28,143.68,31499368,0,1,144.71,145.13,142.28,143.68,31499368,143.68
6/28/2017,144.49,146.11,143.1601,145.83,22082432,0,1,144.49,146.11,143.1601,145.83,22082432,145.83
6/27/2017,145.01,146.16,143.62,143.73,24761891,0,1,145.01,146.16,143.62,143.73,24761891,143.73
6/26/2017,147.17,148.28,145.38,145.82,25692361,0,1,147.17,148.28,145.38,145.82,25692361,145.82
6/23/2017,145.13,147.16,145.11,146.28,35439389,0,1,145.13,147.16,145.11,146.28,35439389,146.28
6/22/2017,145.77,146.7,145.1199,145.63,19106294,0,1,145.77,146.7,145.1199,145.63,19106294,145.63
6/21/2017,145.52,146.0693,144.61,145.87,21265751,0,1,145.52,146.0693,144.61,145.87,21265751,145.87
6/20/2017,146.87,146.87,144.94,145.01,24900073,0,1,146.87,146.87,144.94,145.01,24900073,145.01
6/19/2017,143.66,146.74,143.66,146.34,32541404,0,1,143.66,146.74,143.66,146.34,32541404,146.34
6/16/2017,143.78,144.5,142.2,142.27,50361093,0,1,143.78,144.5,142.2,142.27,50361093,142.27
6/15/2017,143.32,144.4798,142.21,144.29,32165373,0,1,143.32,144.4798,142.21,144.29,32165373,144.29
6/14/2017,147.5,147.5,143.84,145.16,31531232,0,1,147.5,147.5,143.84,145.16,31531232,145.16
6/13/2017,147.16,147.45,145.15,146.59,34165445,0,1,147.16,147.45,145.15,146.59,34165445,146.59
6/12/2017,145.74,146.09,142.51,145.42,72307330,0,1,145.74,146.09,142.51,145.42,72307330,145.42
6/9/2017,155.19,155.19,146.02,148.98,64882657,0,1,155.19,155.19,146.02,148.98,64882657,148.98
6/8/2017,155.25,155.54,154.4,154.99,21250798,0,1,155.25,155.54,154.4,154.99,21250798,154.99
6/7/2017,155.02,155.98,154.48,155.37,21069647,0,1,155.02,155.98,154.48,155.37,21069647,155.37
6/6/2017,153.9,155.81,153.78,154.45,26624926,0,1,153.9,155.81,153.78,154.45,26624926,154.45
6/5/2017,154.34,154.45,153.46,153.93,25331662,0,1,154.34,154.45,153.46,153.93,25331662,153.93
6/2/2017,153.58,155.45,152.89,155.45,27770715,0,1,153.58,155.45,152.89,155.45,27770715,155.45
6/1/2017,153.17,153.33,152.22,153.18,16404088,0,1,153.17,153.33,152.22,153.18,16404088,153.18
5/31/2017,153.97,154.17,152.38,152.76,24451164,0,1,153.97,154.17,152.38,152.76,24451164,152.76
5/30/2017,153.42,154.43,153.33,153.67,20126851,0,1,153.42,154.43,153.33,153.67,20126851,153.67
5/26/2017,154,154.24,153.31,153.61,21927637,0,1,154,154.24,153.31,153.61,21927637,153.61
5/25/2017,153.73,154.35,153.03,153.87,19235598,0,1,153.73,154.35,153.03,153.87,19235598,153.87
5/24/2017,153.84,154.17,152.67,153.34,19219154,0,1,153.84,154.17,152.67,153.34,19219154,153.34
5/23/2017,154.9,154.9,153.31,153.8,19918871,0,1,154.9,154.9,153.31,153.8,19918871,153.8
5/22/2017,154,154.58,152.91,153.99,22966437,0,1,154,154.58,152.91,153.99,22966437,153.99
5/19/2017,153.38,153.98,152.63,153.06,26960788,0,1,153.38,153.98,152.63,153.06,26960788,153.06
5/18/2017,151.27,153.34,151.13,152.54,33568215,0,1,151.27,153.34,151.13,152.54,33568215,152.54
5/17/2017,153.6,154.57,149.71,150.25,50767678,0,1,153.6,154.57,149.71,150.25,50767678,150.25
5/16/2017,155.94,156.06,154.72,155.47,20048478,0,1,155.94,156.06,154.72,155.47,20048478,155.47
5/15/2017,156.01,156.65,155.05,155.7,26009719,0,1,156.01,156.65,155.05,155.7,26009719,155.7
5/12/2017,154.7,156.42,154.67,156.1,32527017,0,1,154.7,156.42,154.67,156.1,32527017,156.1
5/11/2017,152.45,154.07,152.31,153.95,27255058,0.63,1,152.45,154.07,152.31,153.95,27255058,153.95
5/10/2017,153.63,153.94,152.11,153.26,25805692,0,1,153.0038718,153.3126084,151.4900666,152.6353797,25805692,153.26
5/9/2017,153.87,154.88,153.45,153.99,39130363,0,1,153.2428936,154.2487773,152.8246054,153.3624046,39130363,153.99
5/8/2017,149.03,153.7,149.03,153.01,48752413,0,1,148.4226194,153.0735865,148.4226194,152.3863986,48752413,153.01
5/5/2017,146.76,148.98,146.76,148.96,27327725,0,1,146.1618709,148.3728231,146.1618709,148.3529046,27327725,148.96
5/4/2017,146.52,147.14,145.81,146.53,23371872,0,1,145.922849,146.5403222,145.2157427,145.9328083,23371872,146.53
5/3/2017,145.59,147.49,144.27,147.06,45697034,0,1,144.9966393,146.8888957,143.682019,146.4606482,45697034,147.06
