date	tri
12-Dec-80	100.00
15-Dec-80	94.78
16-Dec-80	87.83
17-Dec-80	89.98
18-Dec-80	92.63
19-Dec-80	98.26
22-Dec-80	103.06
23-Dec-80	107.41
24-Dec-80	113.04
26-Dec-80	123.48
29-Dec-80	125.22
30-Dec-80	122.16
31-Dec-80	118.71
2-Jan-81	120.00
5-Jan-81	117.39
6-Jan-81	112.17
7-Jan-81	107.41
8-Jan-81	105.22
9-Jan-81	110.89
12-Jan-81	109.98
13-Jan-81	106.09
14-Jan-81	106.54
15-Jan-81	108.70
16-Jan-81	107.83
19-Jan-81	114.33
20-Jan-81	110.89
21-Jan-81	113.04
22-Jan-81	114.33
23-Jan-81	113.91
26-Jan-81	112.17
27-Jan-81	111.30
28-Jan-81	107.83
29-Jan-81	103.90
30-Jan-81	98.26
2-Feb-81	92.63
3-Feb-81	96.07
4-Feb-81	99.55
5-Feb-81	99.55
6-Feb-81	100.00
9-Feb-81	94.78
10-Feb-81	94.78
11-Feb-81	91.72
12-Feb-81	90.89
13-Feb-81	88.70
17-Feb-81	90.89
18-Feb-81	94.78
19-Feb-81	89.15
20-Feb-81	84.35
23-Feb-81	85.63
24-Feb-81	82.61
25-Feb-81	87.83
26-Feb-81	89.15
27-Feb-81	92.17
2-Mar-81	92.63
3-Mar-81	91.30
4-Mar-81	90.43
5-Mar-81	89.98
6-Mar-81	89.15
9-Mar-81	82.19
10-Mar-81	78.26
11-Mar-81	75.20
12-Mar-81	78.26
13-Mar-81	77.39
16-Mar-81	80.45
17-Mar-81	84.35
18-Mar-81	89.57
19-Mar-81	88.70
20-Mar-81	89.57
23-Mar-81	93.04
24-Mar-81	92.63
25-Mar-81	90.89
26-Mar-81	89.15
27-Mar-81	86.09
30-Mar-81	86.09
31-Mar-81	85.22
1-Apr-81	84.35
2-Apr-81	91.72
3-Apr-81	92.17
6-Apr-81	90.43
7-Apr-81	89.57
8-Apr-81	93.91
9-Apr-81	95.65
10-Apr-81	96.97
13-Apr-81	96.97
14-Apr-81	96.97
15-Apr-81	92.17
16-Apr-81	86.96
20-Apr-81	89.57
21-Apr-81	95.65
22-Apr-81	99.13
23-Apr-81	101.74
24-Apr-81	100.87
27-Apr-81	100.00
28-Apr-81	98.26
29-Apr-81	96.97
30-Apr-81	98.71
1-May-81	98.71
4-May-81	98.26
5-May-81	97.81
6-May-81	95.23
7-May-81	96.52
8-May-81	97.39
11-May-81	95.23
12-May-81	95.23
13-May-81	94.78
14-May-81	93.46
15-May-81	95.65
18-May-81	97.39
19-May-81	95.65
20-May-81	98.71
21-May-81	104.35
22-May-81	109.15
26-May-81	108.70
27-May-81	114.78
28-May-81	114.78
29-May-81	115.23
1-Jun-81	115.23
2-Jun-81	109.57
3-Jun-81	109.57
4-Jun-81	111.72
5-Jun-81	109.98
8-Jun-81	106.09
9-Jun-81	108.24
10-Jun-81	109.57
11-Jun-81	114.33
12-Jun-81	113.04
15-Jun-81	112.59
16-Jun-81	110.43
17-Jun-81	108.70
18-Jun-81	108.24
19-Jun-81	105.22
22-Jun-81	101.32
23-Jun-81	103.06
24-Jun-81	100.42
25-Jun-81	102.61
26-Jun-81	101.32
29-Jun-81	97.81
30-Jun-81	90.43
1-Jul-81	89.57
2-Jul-81	89.57
6-Jul-81	86.54
7-Jul-81	87.37
8-Jul-81	90.89
9-Jul-81	83.90
10-Jul-81	77.39
13-Jul-81	79.13
14-Jul-81	82.61
15-Jul-81	84.80
16-Jul-81	86.96
17-Jul-81	89.98
20-Jul-81	83.90
21-Jul-81	83.48
22-Jul-81	78.71
23-Jul-81	80.87
24-Jul-81	83.48
27-Jul-81	86.96
28-Jul-81	83.90
29-Jul-81	82.61
30-Jul-81	85.63
31-Jul-81	86.96
3-Aug-81	86.09
4-Aug-81	87.37
5-Aug-81	89.98
6-Aug-81	87.83
7-Aug-81	87.83
11-Aug-81	85.22
12-Aug-81	83.48
13-Aug-81	80.87
14-Aug-81	79.55
17-Aug-81	76.97
18-Aug-81	75.20
19-Aug-81	74.37
20-Aug-81	75.20
21-Aug-81	70.02
24-Aug-81	65.63
25-Aug-81	67.37
26-Aug-81	66.09
27-Aug-81	66.54
28-Aug-81	70.02
31-Aug-81	70.02
1-Sep-81	74.37
2-Sep-81	75.65
3-Sep-81	71.72
4-Sep-81	70.89
8-Sep-81	68.70
9-Sep-81	68.70
10-Sep-81	69.11
11-Sep-81	68.28
14-Sep-81	66.09
15-Sep-81	64.35
16-Sep-81	63.03
17-Sep-81	61.29
18-Sep-81	61.74
21-Sep-81	62.19
22-Sep-81	58.71
23-Sep-81	57.39
24-Sep-81	56.94
25-Sep-81	49.57
28-Sep-81	50.02
29-Sep-81	52.63
30-Sep-81	53.04
1-Oct-81	53.04
2-Oct-81	57.39
5-Oct-81	59.13
6-Oct-81	58.71
7-Oct-81	62.19
8-Oct-81	64.35
9-Oct-81	64.80
12-Oct-81	66.96
13-Oct-81	66.96
14-Oct-81	63.03
15-Oct-81	64.35
16-Oct-81	63.48
19-Oct-81	64.80
20-Oct-81	68.28
21-Oct-81	68.28
22-Oct-81	67.83
23-Oct-81	66.09
26-Oct-81	66.09
27-Oct-81	67.37
28-Oct-81	69.57
29-Oct-81	68.70
30-Oct-81	69.57
2-Nov-81	69.57
3-Nov-81	68.70
4-Nov-81	66.96
5-Nov-81	62.19
6-Nov-81	62.61
9-Nov-81	63.48
10-Nov-81	63.90
11-Nov-81	65.63
12-Nov-81	67.83
13-Nov-81	63.03
16-Nov-81	62.19
17-Nov-81	63.48
18-Nov-81	65.63
19-Nov-81	65.63
20-Nov-81	66.09
23-Nov-81	63.03
24-Nov-81	62.61
25-Nov-81	63.90
27-Nov-81	65.63
30-Nov-81	64.80
1-Dec-81	64.80
2-Dec-81	65.22
3-Dec-81	64.35
4-Dec-81	66.09
7-Dec-81	66.54
8-Dec-81	65.22
9-Dec-81	65.63
10-Dec-81	65.63
11-Dec-81	65.22
14-Dec-81	63.03
15-Dec-81	64.80
16-Dec-81	67.83
17-Dec-81	73.46
18-Dec-81	79.55
21-Dec-81	76.07
22-Dec-81	77.39
23-Dec-81	75.65
24-Dec-81	76.07
28-Dec-81	72.63
29-Dec-81	73.91
30-Dec-81	76.97
31-Dec-81	76.97
4-Jan-82	76.52
5-Jan-82	72.63
6-Jan-82	71.72
7-Jan-82	66.09
8-Jan-82	69.11
11-Jan-82	64.80
12-Jan-82	62.61
13-Jan-82	62.19
14-Jan-82	65.22
15-Jan-82	69.57
18-Jan-82	70.89
19-Jan-82	69.11
