price,date,split_ratio,tri,shares_owned,dividend_value,
0.42,1980-12-12,1,100,236.57,0,100
0.4,1980-12-15,1,94.78,236.57,,
0.37,1980-12-16,1,87.83,236.57,,
0.38,1980-12-17,1,89.98,236.57,,
0.39,1980-12-18,1,92.63,236.57,,
0.42,1980-12-19,1,98.26,236.57,,
0.44,1980-12-22,1,103.06,236.57,,
0.45,1980-12-23,1,107.41,236.57,,
0.48,1980-12-24,1,113.04,236.57,,
0.52,1980-12-26,1,123.48,236.57,,
0.53,1980-12-29,1,125.22,236.57,,
0.52,1980-12-30,1,122.16,236.57,,
0.5,1980-12-31,1,118.71,236.57,,
0.51,1981-01-02,1,120,236.57,,
0.5,1981-01-05,1,117.39,236.57,,
0.47,1981-01-06,1,112.17,236.57,,
0.45,1981-01-07,1,107.41,236.57,,
0.44,1981-01-08,1,105.22,236.57,,
0.47,1981-01-09,1,110.89,236.57,,
0.46,1981-01-12,1,109.98,236.57,,
0.45,1981-01-13,1,106.09,236.57,,
0.45,1981-01-14,1,106.54,236.57,,
0.46,1981-01-15,1,108.7,236.57,,
0.46,1981-01-16,1,107.83,236.57,,
0.48,1981-01-19,1,114.33,236.57,,
0.47,1981-01-20,1,110.89,236.57,,
0.48,1981-01-21,1,113.04,236.57,,
0.48,1981-01-22,1,114.33,236.57,,
0.48,1981-01-23,1,113.91,236.57,,
0.47,1981-01-26,1,112.17,236.57,,
0.47,1981-01-27,1,111.3,236.57,,
0.46,1981-01-28,1,107.83,236.57,,
0.44,1981-01-29,1,103.9,236.57,,
0.42,1981-01-30,1,98.26,236.57,,
0.39,1981-02-02,1,92.63,236.57,,
0.41,1981-02-03,1,96.07,236.57,,
0.42,1981-02-04,1,99.55,236.57,,
0.42,1981-02-05,1,99.55,236.57,,
0.42,1981-02-06,1,100,236.57,,
0.4,1981-02-09,1,94.78,236.57,,
0.4,1981-02-10,1,94.78,236.57,,
0.39,1981-02-11,1,91.72,236.57,,
0.38,1981-02-12,1,90.89,236.57,,
0.37,1981-02-13,1,88.7,236.57,,
0.38,1981-02-17,1,90.89,236.57,,
0.4,1981-02-18,1,94.78,236.57,,
0.38,1981-02-19,1,89.15,236.57,,
0.36,1981-02-20,1,84.35,236.57,,
0.36,1981-02-23,1,85.63,236.57,,
0.35,1981-02-24,1,82.61,236.57,,
0.37,1981-02-25,1,87.83,236.57,,
0.38,1981-02-26,1,89.15,236.57,,
0.39,1981-02-27,1,92.17,236.57,,
0.39,1981-03-02,1,92.63,236.57,,
0.39,1981-03-03,1,91.3,236.57,,
0.38,1981-03-04,1,90.43,236.57,,
0.38,1981-03-05,1,89.98,236.57,,
0.38,1981-03-06,1,89.15,236.57,,
0.35,1981-03-09,1,82.19,236.57,,
0.33,1981-03-10,1,78.26,236.57,,
0.32,1981-03-11,1,75.2,236.57,,
0.33,1981-03-12,1,78.26,236.57,,
0.33,1981-03-13,1,77.39,236.57,,
0.34,1981-03-16,1,80.45,236.57,,
0.36,1981-03-17,1,84.35,236.57,,
0.38,1981-03-18,1,89.57,236.57,,
0.37,1981-03-19,1,88.7,236.57,,
0.38,1981-03-20,1,89.57,236.57,,
0.39,1981-03-23,1,93.04,236.57,,
0.39,1981-03-24,1,92.63,236.57,,
0.38,1981-03-25,1,90.89,236.57,,
0.38,1981-03-26,1,89.15,236.57,,
0.36,1981-03-27,1,86.09,236.57,,
0.36,1981-03-30,1,86.09,236.57,,
0.36,1981-03-31,1,85.22,236.57,,
0.36,1981-04-01,1,84.35,236.57,,
0.39,1981-04-02,1,91.72,236.57,,
0.39,1981-04-03,1,92.17,236.57,,
0.38,1981-04-06,1,90.43,236.57,,
0.38,1981-04-07,1,89.57,236.57,,
0.4,1981-04-08,1,93.91,236.57,,
0.4,1981-04-09,1,95.65,236.57,,
0.41,1981-04-10,1,96.97,236.57,,
0.41,1981-04-13,1,96.97,236.57,,
0.41,1981-04-14,1,96.97,236.57,,
0.39,1981-04-15,1,92.17,236.57,,
0.37,1981-04-16,1,86.96,236.57,,
0.38,1981-04-20,1,89.57,236.57,,
0.4,1981-04-21,1,95.65,236.57,,
0.42,1981-04-22,1,99.13,236.57,,
0.43,1981-04-23,1,101.74,236.57,,
0.43,1981-04-24,1,100.87,236.57,,
0.42,1981-04-27,1,100,236.57,,
0.42,1981-04-28,1,98.26,236.57,,
0.41,1981-04-29,1,96.97,236.57,,
0.42,1981-04-30,1,98.71,236.57,,
0.42,1981-05-01,1,98.71,236.57,,
0.42,1981-05-04,1,98.26,236.57,,
0.41,1981-05-05,1,97.81,236.57,,
0.4,1981-05-06,1,95.23,236.57,,
0.41,1981-05-07,1,96.52,236.57,,
0.41,1981-05-08,1,97.39,236.57,,
0.4,1981-05-11,1,95.23,236.57,,
0.4,1981-05-12,1,95.23,236.57,,
0.4,1981-05-13,1,94.78,236.57,,
0.4,1981-05-14,1,93.46,236.57,,
0.4,1981-05-15,1,95.65,236.57,,
0.41,1981-05-18,1,97.39,236.57,,
0.4,1981-05-19,1,95.65,236.57,,
0.42,1981-05-20,1,98.71,236.57,,
0.44,1981-05-21,1,104.35,236.57,,
0.46,1981-05-22,1,109.15,236.57,,
0.46,1981-05-26,1,108.7,236.57,,
0.49,1981-05-27,1,114.78,236.57,,
0.49,1981-05-28,1,114.78,236.57,,
0.49,1981-05-29,1,115.23,236.57,,
0.49,1981-06-01,1,115.23,236.57,,
0.46,1981-06-02,1,109.57,236.57,,
0.46,1981-06-03,1,109.57,236.57,,
0.47,1981-06-04,1,111.72,236.57,,
0.46,1981-06-05,1,109.98,236.57,,
0.45,1981-06-08,1,106.09,236.57,,
0.46,1981-06-09,1,108.24,236.57,,
0.46,1981-06-10,1,109.57,236.57,,
