RESULT_COUNT: 9249,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,,,,,,,,
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
8/16/2017,161.94,162.51,160.15,160.95,27321761,0,1,161.94,162.51,160.15,160.95,27321761
8/15/2017,160.66,162.195,160.14,161.6,29465487,0,1,160.66,162.195,160.14,161.6,29465487
8/14/2017,159.32,160.21,158.75,159.85,22122734,0,1,159.32,160.21,158.75,159.85,22122734
8/11/2017,156.6,158.5728,156.07,157.48,26257096,0,1,156.6,158.5728,156.07,157.48,26257096
8/10/2017,159.9,160,154.63,155.32,40804273,0.63,1,159.9,160,154.63,155.32,40804273
8/9/2017,159.26,161.27,159.11,161.06,26131530,0,1,158.6166284,160.6185085,158.4672344,160.4093568,26131530
8/8/2017,158.6,161.83,158.27,160.08,36205896,0,1,157.9592946,161.1762462,157.6306278,159.4333158,36205896
8/7/2017,157.06,158.92,156.6701,158.81,21870321,0,1,156.4255159,158.2780019,156.037191,158.1684463,21870321
8/4/2017,156.07,157.4,155.69,156.39,20559852,0,1,155.4395152,156.7641424,155.0610503,155.7582225,20559852
8/3/2017,157.05,157.21,155.02,155.57,27097296,0,1,156.4155563,156.5749099,154.393757,154.9415351,27097296
8/2/2017,159.28,159.75,156.16,157.14,69936800,0,1,158.6365476,159.1046489,155.5291517,156.5051927,69936800
8/1/2017,149.1,150.22,148.41,150.05,35368645,0,1,148.4976723,149.6131478,147.8104598,149.4438346,35368645
7/31/2017,149.9,150.33,148.13,148.73,19845920,0,1,149.2944405,149.7227034,147.5315909,148.129167,19845920
7/28/2017,149.89,150.23,149.19,149.5,17213653,0,1,149.2844809,149.6231074,148.5873088,148.8960564,17213653
7/27/2017,153.75,153.99,147.3,150.56,32476337,0,1,153.1288875,153.3679179,146.7049439,149.9517743,32476337
7/26/2017,153.35,153.93,153.06,153.46,15780951,0,1,152.7305034,153.3081603,152.4416749,152.840059,15780951
7/25/2017,151.8,153.84,151.8,152.74,18853932,0,1,151.186765,153.2185239,151.186765,152.1229676,18853932
7/24/2017,150.58,152.44,149.9,152.09,21493160,0,1,149.9716935,151.8241795,149.2944405,151.4755935,21493160
7/21/2017,149.99,150.44,148.88,150.27,26252630,0,1,149.3840769,149.8322591,148.2785611,149.6629458,26252630
7/20/2017,151.5,151.74,150.19,150.34,17243748,0,1,150.8879769,151.1270074,149.583269,149.732663,17243748
7/19/2017,150.48,151.42,149.95,151.02,20922969,0,1,149.8720975,150.8083001,149.3442385,150.409916,20922969
7/18/2017,149.2,150.13,148.67,150.08,17868792,0,1,148.5972684,149.5235114,148.0694094,149.4737134,17868792
7/17/2017,148.82,150.9,148.57,149.56,23793456,0,1,148.2188035,150.2904008,147.9698134,148.955814,23793456
7/14/2017,147.97,149.33,147.33,149.04,20132061,0,1,147.3722373,148.7267432,146.7348227,148.4379147,20132061
7/13/2017,145.5,148.49,145.44,147.77,25199373,0,1,144.9122155,147.8901366,144.8524578,147.1730452,25199373
7/12/2017,145.87,146.18,144.82,145.74,24884478,0,1,145.2807207,145.5894684,144.2349625,145.1512459,24884478
7/11/2017,144.73,145.85,144.38,145.53,19781836,0,1,144.1453261,145.2608015,143.79674,144.9420943,19781836
7/10/2017,144.11,145.95,143.37,145.06,21090636,0,1,143.5278307,145.3603976,142.7908201,144.4739929,21090636
7/7/2017,142.9,144.75,142.9,144.18,19201712,0,1,142.3227188,144.1652453,142.3227188,143.5975479,19201712
7/6/2017,143.02,143.5,142.41,142.73,24128782,0,1,142.442234,142.920295,141.8346983,142.1534056,24128782
7/5/2017,143.69,144.79,142.7237,144.09,21569557,0,1,143.1095274,144.2050837,142.147131,143.5079115,21569557
7/3/2017,144.88,646.29,123.47,123.47,151458,0,1,144.2947201,643.6791459,122.9712113,122.9712113,151458
6/30/2017,144.45,144.96,143.78,144.02,23024107,0,1,143.8664572,144.3743969,143.1991638,143.4381943,23024107
6/29/2017,144.71,145.13,142.28,143.68,31499368,0,1,144.1254069,144.5437102,141.7052235,143.0995678,31499368
6/28/2017,144.49,146.11,143.1601,145.83,22082432,0,1,143.9062956,145.5197512,142.5817681,145.2408823,22082432
