RESULT_COUNT: 8479,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-08-16,93.04,93.23,91.88,92.09,10876281.0,0.0,1.0,93.04,93.23,91.88,92.09,10876281.0
2017-08-15,93.31,93.56,92.65,92.73,8812720.0,0.0,1.0,93.31,93.56,92.65,92.73,8812720.0
2017-08-14,92.37,92.9,92.33,92.49,10994793.0,0.0,1.0,92.37,92.9,92.33,92.49,10994793.0
2017-08-11,92.13,92.67,91.24,91.42,10679534.0,0.0,1.0,92.13,92.67,91.24,91.42,10679534.0
2017-08-10,92.9,93.07,92.07,92.19,13249787.0,0.0,1.0,92.9,93.07,92.07,92.19,13249787.0
2017-08-09,92.98,93.68,92.83,93.53,11214440.0,0.0,1.0,92.98,93.68,92.83,93.53,11214440.0
2017-08-08,93.95,95.2193,93.6,93.68,13745401.0,0.0,1.0,93.95,95.2193,93.6,93.68,13745401.0
2017-08-07,93.89,94.19,93.71,94.02,7978339.0,0.0,1.0,93.89,94.19,93.71,94.02,7978339.0
2017-08-04,93.5,94.4,93.471,93.66,14323999.0,0.0,1.0,93.5,94.4,93.471,93.66,14323999.0
2017-08-03,92.7,93.13,92.235,92.5,11074754.0,0.0,1.0,92.7,93.13,92.235,92.5,11074754.0
2017-08-02,92.865,93.21,92.505,93.11,10165604.0,0.0,1.0,92.865,93.21,92.505,93.11,10165604.0
2017-08-01,92.49,93.14,92.28,93.03,12523725.0,0.0,1.0,92.49,93.14,92.28,93.03,12523725.0
2017-07-31,91.51,92.36,91.5,91.8,11520329.0,0.0,1.0,91.51,92.36,91.5,91.8,11520329.0
2017-07-28,91.45,91.75,90.905,91.28,9351915.0,0.0,1.0,91.45,91.75,90.905,91.28,9351915.0
2017-07-27,91.83,92.06,91.16,91.55,12332375.0,0.0,1.0,91.83,92.06,91.16,91.55,12332375.0
2017-07-26,93.1,93.19,91.68,91.93,11815499.0,0.0,1.0,93.1,93.19,91.68,91.93,11815499.0
2017-07-25,92.37,93.52,92.27,92.8,16447678.0,0.0,1.0,92.37,93.52,92.27,92.8,16447678.0
2017-07-24,90.96,91.54,90.91,91.28,10724516.0,0.0,1.0,90.96,91.54,90.91,91.28,10724516.0
2017-07-21,91.06,91.36,90.52,90.89,10971292.0,0.0,1.0,91.06,91.36,90.52,90.89,10971292.0
2017-07-20,91.15,91.72,90.9,91.2,11561600.0,0.0,1.0,91.15,91.72,90.9,91.2,11561600.0
2017-07-19,91.34,91.6199,91.001,91.2,11651245.0,0.0,1.0,91.34,91.6199,91.001,91.2,11651245.0
2017-07-18,90.45,91.58,90.32,91.07,14719404.0,0.0,1.0,90.45,91.58,90.32,91.07,14719404.0
2017-07-17,91.82,91.99,91.25,91.39,14371181.0,0.0,1.0,91.82,91.99,91.25,91.39,14371181.0
2017-07-14,90.81,92.605,90.58,92.25,22233947.0,0.0,1.0,90.81,92.605,90.58,92.25,22233947.0
2017-07-13,92.69,93.38,92.34,93.1,12820084.0,0.0,1.0,92.69,93.38,92.34,93.1,12820084.0
2017-07-12,92.61,92.83,92.07,92.51,13540107.0,0.0,1.0,92.61,92.83,92.07,92.51,13540107.0
2017-07-11,93.33,93.33,92.28,92.83,13261532.0,0.0,1.0,93.33,93.33,92.28,92.83,13261532.0
2017-07-10,93.5,93.68,93.09,93.19,13987191.0,0.0,1.0,93.5,93.68,93.09,93.19,13987191.0
