RESULT_COUNT: 8341,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-08-16,38.16,38.34,37.96,38.23,14769126.0,0.0,1.0,38.16,38.34,37.96,38.23,14769126.0
2017-08-15,38.5,38.55,38.01,38.16,14820393.0,0.0,1.0,38.5,38.55,38.01,38.16,14820393.0
2017-08-14,38.24,38.56,38.18,38.5,17163598.0,0.0,1.0,38.24,38.56,38.18,38.5,17163598.0
2017-08-11,38.3,38.34,38.07,38.1,13278982.0,0.0,1.0,38.3,38.34,38.07,38.1,13278982.0
2017-08-10,38.27,38.54,38.18,38.19,21302950.0,0.0,1.0,38.27,38.54,38.18,38.19,21302950.0
2017-08-09,38.2,38.395,38.06,38.36,19706726.0,0.0,1.0,38.2,38.395,38.06,38.36,19706726.0
2017-08-08,38.56,38.745,38.27,38.36,15435797.0,0.0,1.0,38.56,38.745,38.27,38.36,15435797.0
2017-08-07,38.44,38.64,38.37,38.52,16825749.0,0.0,1.0,38.44,38.64,38.37,38.52,16825749.0
2017-08-04,38.44,38.52,38.04,38.43,16317012.0,0.0,1.0,38.44,38.52,38.04,38.43,16317012.0
2017-08-03,38.23,38.5,38.15,38.28,18846772.0,0.0,1.0,38.23,38.5,38.15,38.28,18846772.0
2017-08-02,38.98,38.99,38.04,38.27,34610544.0,0.0,1.0,38.98,38.99,38.04,38.27,34610544.0
2017-08-01,39.25,39.27,38.71,38.88,29374491.0,0.0,1.0,39.25,39.27,38.71,38.88,29374491.0
2017-07-31,38.97,39.13,38.715,39.0,28481301.0,0.0,1.0,38.97,39.13,38.715,39.0,28481301.0
2017-07-28,39.25,39.67,38.83,39.0,36012922.0,0.0,1.0,39.25,39.67,38.83,39.0,36012922.0
2017-07-27,38.2,39.5,38.2,39.41,61986966.0,0.0,1.0,38.2,39.5,38.2,39.41,61986966.0
2017-07-26,37.42,38.1,37.4,38.03,72431800.0,0.0,1.0,37.42,38.1,37.4,38.03,72431800.0
2017-07-25,36.29,36.5,36.13,36.22,29446967.0,0.0,1.0,36.29,36.5,36.13,36.22,29446967.0
2017-07-24,36.51,36.55,36.18,36.23,22402192.0,0.0,1.0,36.51,36.55,36.18,36.23,22402192.0
2017-07-21,36.42,36.61,36.255,36.51,20150775.0,0.0,1.0,36.42,36.61,36.255,36.51,20150775.0
2017-07-20,36.33,36.72,36.16,36.52,31890363.0,0.0,1.0,36.33,36.72,36.16,36.52,31890363.0
2017-07-19,36.03,36.13,35.81,36.13,26281264.0,0.0,1.0,36.03,36.13,35.81,36.13,26281264.0
2017-07-18,36.43,36.43,35.87,35.99,29145897.0,0.0,1.0,36.43,36.43,35.87,35.99,29145897.0
2017-07-17,36.32,36.45,36.25,36.39,20542647.0,0.0,1.0,36.32,36.45,36.25,36.39,20542647.0
2017-07-14,36.23,36.38,36.17,36.3,23559227.0,0.0,1.0,36.23,36.38,36.17,36.3,23559227.0
2017-07-13,36.54,36.6,36.19,36.21,30230063.0,0.0,1.0,36.54,36.6,36.19,36.21,30230063.0
2017-07-12,36.75,36.9,36.61,36.83,17486345.0,0.0,1.0,36.75,36.9,36.61,36.83,17486345.0
2017-07-11,36.83,36.86,36.54,36.6,21585509.0,0.0,1.0,36.83,36.86,36.54,36.6,21585509.0
2017-07-10,36.96,37.08,36.82,36.83,22775155.0,0.0,1.0,36.96,37.08,36.82,36.83,22775155.0
2017-07-07,37.18,37.23,36.82,36.98,20840791.0,0.0,1.0,37.18,37.23,36.82,36.98,20840791.0
