price,date,split_ratio,tri,shares_owned,dividend_value,
0.42,12/12/1980,1,100,236.57,0,100
0.4,12/15/1980,1,94.78,236.57,,
0.37,12/16/1980,1,87.83,236.57,,
0.38,12/17/1980,1,89.98,236.57,,
0.39,12/18/1980,1,92.63,236.57,,
0.42,12/19/1980,1,98.26,236.57,,
0.44,12/22/1980,1,103.06,236.57,,
0.45,12/23/1980,1,107.41,236.57,,
0.48,12/24/1980,1,113.04,236.57,,
0.52,12/26/1980,1,123.48,236.57,,
0.53,12/29/1980,1,125.22,236.57,,
0.52,12/30/1980,1,122.16,236.57,,
0.5,12/31/1980,1,118.71,236.57,,
0.51,1/2/1981,1,120,236.57,,
0.5,1/5/1981,1,117.39,236.57,,
0.47,1/6/1981,1,112.17,236.57,,
0.45,1/7/1981,1,107.41,236.57,,
0.44,1/8/1981,1,105.22,236.57,,
0.47,1/9/1981,1,110.89,236.57,,
0.46,1/12/1981,1,109.98,236.57,,
0.45,1/13/1981,1,106.09,236.57,,
0.45,1/14/1981,1,106.54,236.57,,
0.46,1/15/1981,1,108.7,236.57,,
0.46,1/16/1981,1,107.83,236.57,,
0.48,1/19/1981,1,114.33,236.57,,
0.47,1/20/1981,1,110.89,236.57,,
0.48,1/21/1981,1,113.04,236.57,,
0.48,1/22/1981,1,114.33,236.57,,
0.48,1/23/1981,1,113.91,236.57,,
0.47,1/26/1981,1,112.17,236.57,,
0.47,1/27/1981,1,111.3,236.57,,
0.46,1/28/1981,1,107.83,236.57,,
0.44,1/29/1981,1,103.9,236.57,,
0.42,1/30/1981,1,98.26,236.57,,
0.39,2/2/1981,1,92.63,236.57,,
0.41,2/3/1981,1,96.07,236.57,,
0.42,2/4/1981,1,99.55,236.57,,
0.42,2/5/1981,1,99.55,236.57,,
0.42,2/6/1981,1,100,236.57,,
0.4,2/9/1981,1,94.78,236.57,,
0.4,2/10/1981,1,94.78,236.57,,
0.39,2/11/1981,1,91.72,236.57,,
0.38,2/12/1981,1,90.89,236.57,,
0.37,2/13/1981,1,88.7,236.57,,
0.38,2/17/1981,1,90.89,236.57,,
0.4,2/18/1981,1,94.78,236.57,,
0.38,2/19/1981,1,89.15,236.57,,
0.36,2/20/1981,1,84.35,236.57,,
0.36,2/23/1981,1,85.63,236.57,,
0.35,2/24/1981,1,82.61,236.57,,
0.37,2/25/1981,1,87.83,236.57,,
0.38,2/26/1981,1,89.15,236.57,,
0.39,2/27/1981,1,92.17,236.57,,
0.39,3/2/1981,1,92.63,236.57,,
0.39,3/3/1981,1,91.3,236.57,,
0.38,3/4/1981,1,90.43,236.57,,
0.38,3/5/1981,1,89.98,236.57,,
0.38,3/6/1981,1,89.15,236.57,,
0.35,3/9/1981,1,82.19,236.57,,
0.33,3/10/1981,1,78.26,236.57,,
0.32,3/11/1981,1,75.2,236.57,,
0.33,3/12/1981,1,78.26,236.57,,
0.33,3/13/1981,1,77.39,236.57,,
0.34,3/16/1981,1,80.45,236.57,,
0.36,3/17/1981,1,84.35,236.57,,
0.38,3/18/1981,1,89.57,236.57,,
0.37,3/19/1981,1,88.7,236.57,,
0.38,3/20/1981,1,89.57,236.57,,
0.39,3/23/1981,1,93.04,236.57,,
0.39,3/24/1981,1,92.63,236.57,,
0.38,3/25/1981,1,90.89,236.57,,
0.38,3/26/1981,1,89.15,236.57,,
0.36,3/27/1981,1,86.09,236.57,,
0.36,3/30/1981,1,86.09,236.57,,
0.36,3/31/1981,1,85.22,236.57,,
0.36,4/1/1981,1,84.35,236.57,,
0.39,4/2/1981,1,91.72,236.57,,
0.39,4/3/1981,1,92.17,236.57,,
0.38,4/6/1981,1,90.43,236.57,,
0.38,4/7/1981,1,89.57,236.57,,
0.4,4/8/1981,1,93.91,236.57,,
0.4,4/9/1981,1,95.65,236.57,,
0.41,4/10/1981,1,96.97,236.57,,
0.41,4/13/1981,1,96.97,236.57,,
0.41,4/14/1981,1,96.97,236.57,,
0.39,4/15/1981,1,92.17,236.57,,
0.37,4/16/1981,1,86.96,236.57,,
0.38,4/20/1981,1,89.57,236.57,,
0.4,4/21/1981,1,95.65,236.57,,
0.42,4/22/1981,1,99.13,236.57,,
0.43,4/23/1981,1,101.74,236.57,,
0.43,4/24/1981,1,100.87,236.57,,
0.42,4/27/1981,1,100,236.57,,
0.42,4/28/1981,1,98.26,236.57,,
0.41,4/29/1981,1,96.97,236.57,,
0.42,4/30/1981,1,98.71,236.57,,
0.42,5/1/1981,1,98.71,236.57,,
0.42,5/4/1981,1,98.26,236.57,,
0.41,5/5/1981,1,97.81,236.57,,
0.4,5/6/1981,1,95.23,236.57,,
0.41,5/7/1981,1,96.52,236.57,,
0.41,5/8/1981,1,97.39,236.57,,
0.4,5/11/1981,1,95.23,236.57,,
0.4,5/12/1981,1,95.23,236.57,,
0.4,5/13/1981,1,94.78,236.57,,
0.4,5/14/1981,1,93.46,236.57,,
0.4,5/15/1981,1,95.65,236.57,,
0.41,5/18/1981,1,97.39,236.57,,
0.4,5/19/1981,1,95.65,236.57,,
0.42,5/20/1981,1,98.71,236.57,,
0.44,5/21/1981,1,104.35,236.57,,
0.46,5/22/1981,1,109.15,236.57,,
0.46,5/26/1981,1,108.7,236.57,,
0.49,5/27/1981,1,114.78,236.57,,
0.49,5/28/1981,1,114.78,236.57,,
0.49,5/29/1981,1,115.23,236.57,,
0.49,6/1/1981,1,115.23,236.57,,
0.46,6/2/1981,1,109.57,236.57,,
0.46,6/3/1981,1,109.57,236.57,,
0.47,6/4/1981,1,111.72,236.57,,
0.46,6/5/1981,1,109.98,236.57,,
0.45,6/8/1981,1,106.09,236.57,,
0.46,6/9/1981,1,108.24,236.57,,
0.46,6/10/1981,1,109.57,236.57,,
0.48,6/11/1981,1,114.33,236.57,,
0.48,6/12/1981,1,113.04,236.57,,
0.48,6/15/1981,1,112.59,236.57,,
0.47,6/16/1981,1,110.43,236.57,,
0.46,6/17/1981,1,108.7,236.57,,
0.46,6/18/1981,1,108.24,236.57,,
0.44,6/19/1981,1,105.22,236.57,,
0.43,6/22/1981,1,101.32,236.57,,
0.44,6/23/1981,1,103.06,236.57,,
