Date,Open,High,Low,Close,Volume,Adj Close
8/7/2017,157.06,158.92,156.67,158.59,21444976,158.59
8/4/2017,156.07,157.4,155.69,156.39,20559852,156.39
8/3/2017,157.05,157.21,155.02,155.57,27097296,155.57
8/2/2017,159.28,159.75,156.16,157.14,69936800,157.14
8/1/2017,149.1,150.22,148.41,150.05,35368645,150.05
7/31/2017,149.9,150.33,148.13,148.73,19845920,148.73
7/28/2017,149.89,150.23,149.19,149.5,17213653,149.5
7/27/2017,153.75,153.99,147.3,150.56,32476337,150.56
7/26/2017,153.35,153.93,153.06,153.46,15780951,153.46
7/25/2017,151.8,153.84,151.8,152.74,18853932,152.74
7/24/2017,150.58,152.44,149.9,152.09,21493160,152.09
7/21/2017,149.99,150.44,148.88,150.27,26252630,150.27
7/20/2017,151.5,151.74,150.19,150.34,17243748,150.34
7/19/2017,150.48,151.42,149.95,151.02,20922969,151.02
7/18/2017,149.2,150.13,148.67,150.08,17868792,150.08
7/17/2017,148.82,150.9,148.57,149.56,23793456,149.56
7/14/2017,147.97,149.33,147.33,149.04,20132061,149.04
7/13/2017,145.5,148.49,145.44,147.77,25199373,147.77
7/12/2017,145.87,146.18,144.82,145.74,24884478,145.74
7/11/2017,144.73,145.85,144.38,145.53,19781836,145.53
7/10/2017,144.11,145.95,143.37,145.06,21090636,145.06
7/7/2017,142.9,144.75,142.9,144.18,19201712,144.18
7/6/2017,143.02,143.5,142.41,142.73,24128782,142.73
7/5/2017,143.69,144.79,142.7237,144.09,21569557,144.09
7/3/2017,144.88,145.3001,143.1,143.5,14276812,143.5
6/30/2017,144.45,144.96,143.78,144.02,23024107,144.02
6/29/2017,144.71,145.13,142.28,143.68,31499368,143.68
6/28/2017,144.49,146.11,143.1601,145.83,22082432,145.83
6/27/2017,145.01,146.16,143.62,143.73,24761891,143.73
6/26/2017,147.17,148.28,145.38,145.82,25692361,145.82
6/23/2017,145.13,147.16,145.11,146.28,35439389,146.28
6/22/2017,145.77,146.7,145.1199,145.63,19106294,145.63
6/21/2017,145.52,146.0693,144.61,145.87,21265751,145.87
6/20/2017,146.87,146.87,144.94,145.01,24900073,145.01
6/19/2017,143.66,146.74,143.66,146.34,32541404,146.34
6/16/2017,143.78,144.5,142.2,142.27,50361093,142.27
6/15/2017,143.32,144.4798,142.21,144.29,32165373,144.29
6/14/2017,147.5,147.5,143.84,145.16,31531232,145.16
6/13/2017,147.16,147.45,145.15,146.59,34165445,146.59
6/12/2017,145.74,146.09,142.51,145.42,72307330,145.42
6/9/2017,155.19,155.19,146.02,148.98,64882657,148.98
6/8/2017,155.25,155.54,154.4,154.99,21250798,154.99
6/7/2017,155.02,155.98,154.48,155.37,21069647,155.37
6/6/2017,153.9,155.81,153.78,154.45,26624926,154.45
6/5/2017,154.34,154.45,153.46,153.93,25331662,153.93
6/2/2017,153.58,155.45,152.89,155.45,27770715,155.45
6/1/2017,153.17,153.33,152.22,153.18,16404088,153.18
5/31/2017,153.97,154.17,152.38,152.76,24451164,152.76
5/30/2017,153.42,154.43,153.33,153.67,20126851,153.67
5/26/2017,154,154.24,153.31,153.61,21927637,153.61
5/25/2017,153.73,154.35,153.03,153.87,19235598,153.87
5/24/2017,153.84,154.17,152.67,153.34,19219154,153.34
5/23/2017,154.9,154.9,153.31,153.8,19918871,153.8
5/22/2017,154,154.58,152.91,153.99,22966437,153.99
5/19/2017,153.38,153.98,152.63,153.06,26960788,153.06
5/18/2017,151.27,153.34,151.13,152.54,33568215,152.54
5/17/2017,153.6,154.57,149.71,150.25,50767678,150.25
5/16/2017,155.94,156.06,154.72,155.47,20048478,155.47
5/15/2017,156.01,156.65,155.05,155.7,26009719,155.7
5/12/2017,154.7,156.42,154.67,156.1,32527017,156.1
5/11/2017,152.45,154.07,152.31,153.95,27255058,153.95
5/10/2017,153.63,153.94,152.11,153.26,25805692,152.6353797
5/9/2017,153.87,154.88,153.45,153.99,39130363,153.3624046
5/8/2017,149.03,153.7,149.03,153.01,48752413,152.3863986
5/5/2017,146.76,148.98,146.76,148.96,27327725,148.3529046
5/4/2017,146.52,147.14,145.81,146.53,23371872,145.9328083
5/3/2017,145.59,147.49,144.27,147.06,45697034,146.4606482
5/2/2017,147.54,148.09,146.84,147.51,45352194,146.9088142
5/1/2017,145.1,147.2,144.96,146.58,33602943,145.9826045
4/28/2017,144.09,144.3,143.27,143.65,20860358,143.0645459
4/27/2017,143.9225,144.16,143.31,143.79,14246347,143.2039753
4/26/2017,144.47,144.6,143.3762,143.68,20041241,143.0944236
4/25/2017,143.91,144.9,143.87,144.53,18871501,143.9409594
4/24/2017,143.5,143.95,143.18,143.64,17116599,143.0545866
4/21/2017,142.44,142.68,141.85,142.27,17320928,141.6901701
4/20/2017,141.22,142.92,141.16,142.44,23319562,141.8594773
4/19/2017,141.88,142,140.45,140.68,17328375,140.1066503
4/18/2017,141.41,142.04,141.11,141.2,14697544,140.624531
4/17/2017,141.48,141.88,140.87,141.83,16582094,141.2519634
4/13/2017,141.91,142.38,141.05,141.05,17822880,140.4751423
4/12/2017,141.6,142.15,141.01,141.8,20350000,141.2220857
4/11/2017,142.94,143.35,140.06,141.63,30379376,141.0527785
4/10/2017,143.6,143.8792,142.9,143.17,18933397,142.5865021
4/7/2017,143.73,144.18,143.27,143.34,16658543,142.7558093
4/6/2017,144.29,144.52,143.45,143.66,21149034,143.0745051
4/5/2017,144.22,145.46,143.81,144.02,27717854,143.4330379
4/4/2017,143.25,144.89,143.17,144.77,19891354,144.1799812
4/3/2017,143.71,144.12,143.05,143.7,19985714,143.1143421
3/31/2017,143.72,144.27,143.01,143.66,19661651,143.0745051
3/30/2017,144.19,144.5,143.5,143.93,21207252,143.3434047
3/29/2017,143.68,144.49,143.19,144.12,29189955,143.5326304
3/28/2017,140.91,144.04,140.62,143.8,33374805,143.2139345
3/27/2017,139.39,141.22,138.62,140.88,23575094,140.3058352
3/24/2017,141.5,141.74,140.35,140.64,22395563,140.0668133
3/23/2017,141.26,141.5844,140.61,140.92,20346301,140.3456721
3/22/2017,139.845,141.6,139.76,141.42,25860165,140.8436344
3/21/2017,142.11,142.8,139.73,139.84,39529912,139.2700737
3/20/2017,140.4,141.5,140.23,141.46,21542038,140.8834713
3/17/2017,141,141,139.89,139.99,43884952,139.4194624
3/16/2017,140.72,141.02,140.26,140.69,19231998,140.1166095
3/15/2017,139.41,140.7501,139.025,140.46,25691774,139.8875469
3/14/2017,139.3,139.65,138.84,138.99,15309065,138.423538
3/13/2017,138.85,139.43,138.82,139.2,17421717,138.6326821
3/10/2017,139.25,139.3571,138.64,139.14,19612801,138.5729266
3/9/2017,138.74,138.79,137.05,138.68,22155904,138.1148014
3/8/2017,138.95,139.8,138.82,139,18707236,138.4334972
3/7/2017,139.06,139.98,138.79,139.52,17446297,138.9513779
3/6/2017,139.365,139.77,138.5959,139.34,21750044,138.7721115
3/3/2017,138.78,139.83,138.59,139.78,21571121,139.2103183
3/2/2017,140,140.2786,138.76,138.96,26210984,138.3936602
3/1/2017,137.89,140.15,137.595,139.79,36414585,139.2202775
2/28/2017,137.08,137.435,136.7,136.99,23482860,136.4316891
2/27/2017,137.14,137.435,136.28,136.93,20257426,136.3719336
2/24/2017,135.91,136.66,135.28,136.66,21776585,136.103034
2/23/2017,137.38,137.48,136.3,136.53,20788186,135.9735639
2/22/2017,136.43,137.12,136.11,137.11,20836932,136.5512
2/21/2017,136.23,136.75,135.98,136.7,24507156,136.142871
2/17/2017,135.1,135.83,135.1,135.72,22198197,135.1668651
2/16/2017,135.67,135.9,134.8398,135.345,22584555,134.7933934
2/15/2017,135.52,136.27,134.62,135.51,35623100,134.9577209
2/14/2017,133.47,135.09,133.25,135.02,33226223,134.4697179
2/13/2017,133.08,133.82,132.75,133.29,23035421,132.7467687
2/10/2017,132.46,132.94,132.05,132.12,20065458,131.5815371
2/9/2017,131.65,132.445,131.12,132.42,28349859,131.8803144
2/8/2017,131.35,132.22,131.22,132.04,23004072,130.9382413
2/7/2017,130.54,132.09,130.45,131.53,38183841,130.4324968
2/6/2017,129.13,130.5,128.9,130.29,26845924,129.2028435
2/3/2017,128.31,129.19,128.16,129.08,24507301,128.0029399
2/2/2017,127.975,129.39,127.78,128.53,33710411,127.4575292
2/1/2017,127.03,130.49,127.01,128.75,111985040,127.6756935
1/31/2017,121.15,121.39,120.62,121.35,49200993,120.3374401
1/30/2017,120.93,121.63,120.66,121.63,30377503,120.6151037
1/27/2017,122.14,122.35,121.6,121.95,20562944,120.9324336
1/26/2017,121.67,122.44,121.6,121.94,26337576,120.922517
1/25/2017,120.42,122.1,120.28,121.88,32586673,120.8630177
1/24/2017,119.55,120.1,119.5,119.97,23211038,118.9689549
1/23/2017,120,120.81,119.77,120.08,22050218,119.0780371
1/20/2017,120.45,120.45,119.7346,120,32597892,118.9987046
1/19/2017,119.4,120.09,119.37,119.78,25597291,118.7805403
1/18/2017,120,120.5,119.71,119.99,23712961,118.9887881
1/17/2017,118.34,120.24,118.22,120,34439843,118.9987046
1/13/2017,119.11,119.62,118.81,119.04,26111948,118.046715
1/12/2017,118.895,119.3,118.21,119.25,27086220,118.2549627
1/11/2017,118.74,119.93,118.6,119.75,27588593,118.7507907
1/10/2017,118.77,119.38,118.3,119.11,24462051,118.1161309
1/9/2017,117.95,119.43,117.94,118.99,33561948,117.9971322
1/6/2017,116.78,118.16,116.47,117.91,31751900,116.9261439
1/5/2017,115.92,116.8642,115.81,116.61,22193587,115.6369912
1/4/2017,115.85,116.51,115.75,116.02,21118116,115.0519143
1/3/2017,115.8,116.33,114.76,116.15,28781865,115.1808295
12/30/2016,116.65,117.2,115.43,115.82,30586265,114.8535831
12/29/2016,116.45,117.1095,116.4,116.73,15039519,115.7559899
12/28/2016,117.52,118.0166,116.2,116.76,20905892,115.7857396
12/27/2016,116.52,117.8,116.49,117.26,18296855,116.2815675
