ticker,id,company,2yr div cagr,2yr cagr stock price ,
VMC,1,VULCAN MATERIALS,216.23,90.6,
SYMC,2,SYMANTEC CORP,174.98,19.22,
LRCX,3,LAM RESEARCH,158.87,36.18,
DHR,4,DANAHER CORP,132.38,20.62,
JWN,5,NORDSTROM INC,130.2,-31.38,
BAC,6,BANK OF AMERICA,123.61,25.28,
GT,7,GOODYEAR TIRE,123.61,10.48,
SWKS,8,SKYWORKS SOLUTIO,119.98,5.14,
ICE,9,INTERCONTINENTAL,111.22,30.41,
AIG,10,AMERICAN INTERNA,101.25,19.81,
ALK,11,ALASKA AIR GROUP,100,52.52,
C,12,CITIGROUP INC,100,9.7,
DAL,13,DELTA AIR LI,93.65,2.55,
LB,14,L BRANDS INC,82.88,-15.37,
MA,15,MASTERCARD INC-A,78.62,20.53,
MAC,16,MACERICH CO,67.61,-6.05,
MS,17,MORGAN STANLEY,65.83,12.68,
CF,18,CF INDUSTRIES HO,65.14,-38.51,
TROW,19,T ROWE PRICE GRP,63.84,-5.95,
HBI,20,HANESBRANDS INC,62.76,-20.93,
STI,21,SUNTRUST BANKS,62.13,34.81,
AES,22,AES CORP,55.3,-10.91,
DHI,23,DR HORTON INC,52.47,11.94,
RF,24,REGIONS FINANCIA,51.66,40.91,
PHM,25,PULTEGROUP INC,48.32,-10.58,
LUV,26,SOUTHWEST AIR,48.06,20.08,
WRK,27,WESTROCK CO,46.31,,
BBY,28,BEST BUY CO INC,45.16,17.84,
TSO,29,TESORO CORP,43.37,21.45,
NOV,30,NATL OILWELL VAR,42.2,-39.91,
VLO,31,VALERO ENERGY,41.42,47.32,
UHS,32,UNIVERSAL HLTH-B,41.42,-3.98,
APC,33,ANADARKO PETROLE,41.42,-14.92,
TSN,34,TYSON FOODS-A,41.09,55.72,
IRM,35,IRON MOUNTAIN,37.71,-7.52,
JBHT,36,HUNT (JB) TRANS,36.63,17.1,
IR,37,INGERSOLL-RAND,35.69,21.49,
RCL,38,ROYAL CARIBBEAN,35.07,3.29,
DFS,39,DISCOVER FINANCI,34.16,13.25,
EOG,40,EOG RESOURCES,33.67,10.83,
UNH,41,UNITEDHEALTH GRP,33.47,60.87,
ZTS,42,ZOETIS INC,32.82,25.41,
ABT,43,ABBOTT LABS,32.29,-11.97,
HST,44,HOST HOTELS & RE,31.88,-14,
APH,45,AMPHENOL CORP-A,31.82,25.74,
NDAQ,46,NASDAQ INC,31.56,42.99,
AVGO,47,BROADCOM LTD,31.12,80.1,
WMB,48,WILLIAMS COS INC,30.55,-20.94,
ZION,49,ZIONS BANCORP,30.09,52.76,
SLG,50,SL GREEN REALTY,30.05,-6.9,
AON,51,AON PLC,30.05,18.78,
AMGN,52,AMGEN INC,29.65,-4.68,
ANTM,53,ANTHEM INC,29.1,16.3,
